factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mch_pwy184_pc2 2 2 0.175 -0.136 0.926 0.27
mch_pwy191_pc4 2 2 0.918 0.007 0.017 0.841
mch_pwy192_pc3 2 2 0.024 0.092 0.999 0.054
mch_pwy201_pc3 2 2 0.862 0.023 0.046 0.774
mch_pwy204_pc2 2 2 0.164 0.14 0.935 0.256
mch_pwy213_pc3 2 2 0.769 0.038 0.126 0.66
mch_pwy216_pc3 2 2 0.972 0.003 0.002 0.945
mch_pwy227_pc4 2 2 0.823 -0.036 0.076 0.704
mch_pwy264_pc1 2 2 0.056 0.095 0.992 0.114
mch_pwy276_pc4 2 2 0.031 0.067 0.998 0.065
mch_pwy286_pc4 2 2 0.176 0.05 0.926 0.313
mch_pwy304_pc4 2 2 0.299 0.099 0.795 0.444
mch_pwy308_pc5 2 2 0.327 0.128 0.758 0.459
mch_pwy316_pc5 2 2 0.311 0.083 0.78 0.452
mch_pwy31_pc4 2 2 0.59 0.041 0.36 0.577
mch_pwy320_pc4 2 2 0.017 -0.068 0.999 0.03
mch_pwy322_pc2 2 2 0.892 -0.006 0.029 0.791
mch_pwy330_pc2 2 2 0.7 -0.064 0.206 0.553
mch_pwy40_pc1 2 2 0.916 -0.011 0.017 0.856
mch_pwy42_pc5 3 3 0.768 -0.044 0.054 0.803
mch_pwy45_pc5 2 2 0.33 0.135 0.754 0.46
mchc_pwy111_pc2 2 2 0.023 -0.072 0.999 0.047
mchc_pwy112_pc3 2 2 0.137 0.08 0.954 0.336
mchc_pwy129_pc4 2 2 0.182 -0.06 0.92 0.357
mchc_pwy178_pc2 2 2 0.017 0.082 0.999 0.042
mchc_pwy200_pc1 2 2 0.012 -0.072 1 0.041
mchc_pwy213_pc5 3 3 0.015 0.095 0.97 0.073
mchc_pwy214_pc4 2 2 0.216 0.066 0.889 0.406
mchc_pwy224_pc1 2 2 0.741 -0.106 0.156 0.579
