factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
hct_pwy12_pc5 2 2 0.076 0.149 0.986 0.18
hct_pwy13_pc1 2 2 0.814 -0.024 0.083 0.622
hct_pwy16_pc3 2 2 0.988 -0.001 0 0.968
hct_pwy179_pc1 2 2 0.704 0.134 0.201 0.533
hct_pwy17_pc3 2 2 0.085 0.088 0.982 0.133
hct_pwy204_pc5 2 2 0.741 0.023 0.156 0.588
hct_pwy252_pc4 2 2 0.019 -0.125 0.999 0.059
hct_pwy26_pc4 2 2 0.874 -0.016 0.039 0.672
hct_pwy35_pc2 2 2 0.073 -0.12 0.987 0.233
hct_pwy88_pc1 2 2 0.799 -0.034 0.096 0.641
hct_pwy92_pc2 2 2 0.017 -0.065 0.999 0.015
hgb_pwy10_pc2 2 2 0.956 0.007 0.005 0.887
hgb_pwy135_pc2 2 2 0.007 0.066 1 0.001
hgb_pwy152_pc5 2 1 0.079 -0.105 0.985 0.202
hgb_pwy156_pc1 2 2 0.015 -0.136 0.999 0.038
hgb_pwy187_pc1 2 2 0.127 -0.101 0.961 0.244
hgb_pwy193_pc3 3 2 0.425 0.043 0.33 0.288
hgb_pwy193_pc5 2 1 0.065 0.081 0.989 0.045
hgb_pwy1_pc3 2 2 0.936 -0.008 0.01 0.787
hgb_pwy22_pc5 2 2 0.954 -0.005 0.005 0.852
hgb_pwy250_pc2 2 2 0.944 -0.012 0.008 0.851
hgb_pwy253_pc3 2 2 0.052 -0.076 0.993 0.064
hgb_pwy30_pc2 2 2 0.814 -0.027 0.083 0.688
hgb_pwy320_pc3 3 2 0.491 0.043 0.259 0.393
hgb_pwy320_pc5 2 1 0.024 -0.078 0.999 0.058
hgb_pwy321_pc3 2 1 0.009 -0.099 1 0.009
hgb_pwy321_pc5 2 1 0.095 -0.068 0.978 0.14
hgb_pwy323_pc5 2 1 0.081 -0.102 0.984 0.199
hgb_pwy325_pc3 2 1 0.001 0.095 1 0.002
hgb_pwy32_pc1 3 3 0.543 -0.048 0.209 0.489
hgb_pwy331_pc5 2 1 0.643 -0.033 0.283 0.538
hgb_pwy43_pc5 3 2 0.983 0.002 0 0.981
hgb_pwy60_pc3 2 2 0.846 0.024 0.058 0.67
lymph_pwy111_pc4 2 2 0.017 0.032 0.999 0.038
lymph_pwy112_pc2 3 3 0.691 -0.035 0.095 0.722
lymph_pwy117_pc1 2 2 0.144 -0.135 0.95 0.329
lymph_pwy118_pc1 2 2 0.063 -0.078 0.99 0.134
lymph_pwy118_pc3 2 2 0.304 -0.128 0.788 0.466
lymph_pwy119_pc1 2 2 0.03 -0.037 0.998 0.055
lymph_pwy126_pc3 2 2 0.849 0.013 0.055 0.674
lymph_pwy127_pc4 2 2 0.82 0.015 0.078 0.63
lymph_pwy128_pc4 2 2 0.077 0.046 0.986 0.214
lymph_pwy12_pc2 2 2 0.026 -0.09 0.998 0.044
lymph_pwy153_pc4 2 2 0.588 0.035 0.363 0.531
lymph_pwy169_pc4 2 2 0.839 0.015 0.063 0.664
lymph_pwy171_pc1 2 2 0.084 -0.082 0.983 0.211
lymph_pwy173_pc3 2 2 0.046 0.04 0.995 0.101
lymph_pwy181_pc2 5 5 0.001 0.104 0.947 0.017
lymph_pwy196_pc5 2 2 0.034 0.059 0.997 0.105
lymph_pwy197_pc5 2 2 0.046 0.12 0.995 0.142
lymph_pwy199_pc4 2 2 0.625 0.029 0.309 0.531
lymph_pwy201_pc1 3 3 0.643 -0.027 0.128 0.623
lymph_pwy201_pc4 2 2 0.758 0.027 0.138 0.582
lymph_pwy204_pc1 2 2 0.892 -0.017 0.029 0.758
lymph_pwy217_pc2 2 2 0.197 -0.15 0.907 0.397
lymph_pwy221_pc2 2 2 0.821 -0.032 0.077 0.62
lymph_pwy22_pc5 2 2 0.899 -0.014 0.025 0.742
lymph_pwy233_pc4 2 2 0.062 0.048 0.991 0.131
lymph_pwy237_pc2 2 2 0.016 0.168 0.999 0.038
lymph_pwy248_pc4 2 2 0.959 -0.007 0.004 0.915
lymph_pwy24_pc1 3 3 0.502 -0.076 0.248 0.409
lymph_pwy250_pc2 2 2 0.87 0.021 0.041 0.716
lymph_pwy255_pc4 3 3 0.621 -0.028 0.144 0.556
lymph_pwy262_pc2 3 3 0.73 0.022 0.073 0.75
lymph_pwy266_pc4 2 2 0.843 -0.019 0.06 0.636
lymph_pwy269_pc5 2 2 0.091 0.06 0.98 0.218
lymph_pwy274_pc5 4 4 0.321 -0.034 0.319 0.306
lymph_pwy281_pc5 2 1 0.334 0.056 0.75 0.283
lymph_pwy289_pc4 2 2 0.069 0.027 0.988 0.152
lymph_pwy291_pc4 2 2 0.001 -0.04 1 0.001
lymph_pwy294_pc1 2 2 0.005 -0.06 1 0.015
lymph_pwy296_pc4 2 2 0.092 -0.029 0.979 0.21
lymph_pwy299_pc1 3 3 0.008 0.128 0.984 0.044
lymph_pwy304_pc1 2 2 0.115 0.107 0.968 0.271
lymph_pwy309_pc2 2 2 0.09 -0.048 0.98 0.201
lymph_pwy319_pc1 2 1 0.356 0.159 0.718 0.469
lymph_pwy321_pc5 3 2 0.523 -0.05 0.227 0.403
lymph_pwy323_pc1 2 2 0.906 -0.007 0.022 0.768
lymph_pwy324_pc2 2 2 0.351 0.102 0.725 0.497
lymph_pwy329_pc4 2 2 0.032 0.06 0.997 0.013
lymph_pwy332_pc1 3 3 0.003 0.15 0.995 0.017
lymph_pwy34_pc3 2 2 0.523 0.097 0.465 0.509
lymph_pwy35_pc2 2 2 0.879 0.023 0.036 0.716
lymph_pwy57_pc3 3 3 0.013 -0.098 0.973 0.039
lymph_pwy5_pc5 2 2 0.012 -0.079 1 0.033
lymph_pwy6_pc2 2 2 0.923 -0.009 0.015 0.817
lymph_pwy76_pc1 2 2 0.953 0.008 0.006 0.876
lymph_pwy78_pc3 2 2 0.059 0.075 0.991 0.149
lymph_pwy90_pc5 2 2 0.819 -0.04 0.079 0.61
lymph_pwy91_pc5 2 2 0.036 -0.068 0.997 0.095
lymph_pwy95_pc4 2 2 0.837 -0.016 0.064 0.631
mch_pwy102_pc5 2 2 0.147 -0.139 0.948 0.238
mch_pwy110_pc3 2 2 0.981 -0.004 0.001 0.95
mch_pwy14_pc3 2 2 0.839 0.019 0.062 0.696
mch_pwy155_pc4 2 2 0.786 -0.025 0.109 0.648
mch_pwy156_pc2 2 2 0.797 0.027 0.098 0.725
mch_pwy15_pc4 2 2 0.42 -0.059 0.625 0.43
mch_pwy172_pc3 2 2 0.369 0.085 0.699 0.454
mch_pwy182_pc3 4 4 0.974 -0.001 0 0.97
mch_pwy184_pc3 2 2 0.482 -0.047 0.528 0.475
mch_pwy186_pc5 2 2 0.207 0.086 0.898 0.353
mch_pwy204_pc3 3 3 0.983 0.003 0 0.988
mch_pwy214_pc5 2 2 0.602 -0.065 0.343 0.515
mch_pwy217_pc1 2 2 0.094 -0.071 0.978 0.155
mch_pwy229_pc1 2 2 0.772 -0.055 0.123 0.635
mch_pwy246_pc3 2 2 0.79 0.035 0.105 0.66
mch_pwy260_pc1 2 2 0.189 0.198 0.914 0.339
mch_pwy260_pc3 3 3 0.1 0.107 0.809 0.164
mch_pwy287_pc5 2 2 0.236 0.068 0.869 0.372
mch_pwy28_pc2 3 3 0.016 -0.196 0.968 0.046
mch_pwy295_pc4 2 2 0.144 -0.135 0.95 0.265
mch_pwy327_pc2 2 2 0.702 -0.039 0.203 0.549
mch_pwy331_pc4 2 2 0.111 -0.131 0.97 0.225
mch_pwy44_pc1 2 2 0.322 -0.076 0.765 0.241
mch_pwy4_pc1 2 2 0.094 -0.12 0.978 0.207
mch_pwy50_pc3 2 2 0.353 0.133 0.722 0.403
mch_pwy66_pc1 2 2 0.946 0.011 0.007 0.861
mch_pwy6_pc3 2 2 0.734 -0.06 0.165 0.606
mch_pwy78_pc4 2 2 0.258 0.076 0.845 0.361
mch_pwy79_pc1 2 2 0.707 -0.086 0.197 0.573
mch_pwy80_pc3 2 2 0.505 -0.078 0.492 0.506
mch_pwy82_pc4 3 3 0.976 -0.004 0.001 0.983
mch_pwy83_pc1 2 2 0.962 -0.005 0.004 0.913
mch_pwy83_pc3 2 2 0.615 0.089 0.323 0.515
mchc_pwy102_pc5 2 2 0.197 -0.052 0.908 0.369
mchc_pwy125_pc5 2 2 0.187 -0.057 0.916 0.297
mchc_pwy12_pc2 2 2 0.979 0.003 0.001 0.938
mchc_pwy12_pc4 2 2 0.992 0.002 0 0.981
mchc_pwy139_pc5 2 2 0.341 0.08 0.739 0.395
mchc_pwy142_pc5 3 3 0.083 0.077 0.841 0.18
mchc_pwy146_pc4 3 3 0.087 -0.098 0.833 0.209
mchc_pwy156_pc3 2 2 0.956 0.003 0.005 0.896
mchc_pwy160_pc4 2 2 0.89 -0.009 0.03 0.937
mchc_pwy161_pc1 2 2 0.967 0.006 0.003 0.911
mchc_pwy161_pc5 2 2 0.036 0.055 0.997 0.072
mchc_pwy167_pc4 2 2 0.036 0.055 0.997 0.069
mchc_pwy172_pc3 3 3 0.669 0.03 0.11 0.729
mchc_pwy174_pc4 2 2 0.144 -0.057 0.95 0.315
mchc_pwy182_pc3 2 2 0.777 0.022 0.118 0.719
mchc_pwy185_pc5 2 2 0.976 -0.002 0.001 0.936
mchc_pwy186_pc5 2 2 0.02 0.054 0.999 0.03
mchc_pwy187_pc5 2 2 0.372 -0.082 0.696 0.489
mchc_pwy18_pc4 2 2 0.625 0.02 0.309 0.606
mchc_pwy20_pc3 2 2 0.245 -0.062 0.859 0.306
mchc_pwy216_pc4 2 2 0.109 -0.057 0.971 0.219
mchc_pwy236_pc2 3 3 0.009 -0.106 0.983 0.035
mchc_pwy256_pc5 2 2 0.211 0.039 0.895 0.379
mchc_pwy260_pc3 3 3 0.627 -0.045 0.139 0.535
mchc_pwy263_pc5 3 3 0.22 0.059 0.609 0.265
mchc_pwy265_pc3 2 2 0.052 -0.04 0.993 0.118
mchc_pwy272_pc5 2 2 0.212 -0.031 0.894 0.272
mchc_pwy283_pc1 3 3 0.486 -0.099 0.264 0.379
mchc_pwy283_pc5 2 2 0.137 0.031 0.954 0.307
mchc_pwy284_pc5 2 2 0.2 -0.083 0.905 0.342
