factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
gran_pwy218_pc2 3 3 0.616 -0.04 0.148 0.535
gran_pwy219_pc3 3 3 0.864 -0.008 0.018 0.889
gran_pwy226_pc3 2 2 0.857 -0.013 0.05 0.686
gran_pwy231_pc2 2 2 0.846 -0.023 0.057 0.624
gran_pwy235_pc5 2 2 0.069 0.059 0.988 0.177
gran_pwy238_pc4 2 1 0.287 0.102 0.81 0.475
gran_pwy245_pc3 2 2 0.824 0.013 0.075 0.667
gran_pwy263_pc3 2 1 0.258 0.104 0.844 0.478
gran_pwy264_pc1 2 2 0.736 -0.041 0.163 0.529
gran_pwy272_pc3 2 2 0.759 0.016 0.136 0.587
gran_pwy274_pc4 2 2 0.789 -0.013 0.106 0.59
gran_pwy276_pc4 2 2 0.985 0.002 0.001 0.949
gran_pwy281_pc2 2 2 0.036 -0.042 0.997 0.058
gran_pwy283_pc4 2 2 0.057 -0.033 0.992 0.203
gran_pwy288_pc3 3 3 0.874 0.007 0.016 0.88
gran_pwy290_pc3 3 2 0.69 -0.026 0.096 0.718
gran_pwy290_pc4 2 2 0.834 -0.008 0.066 0.676
gran_pwy294_pc3 2 1 0.271 -0.078 0.83 0.457
gran_pwy294_pc5 2 1 0.743 -0.019 0.155 0.515
gran_pwy295_pc4 2 1 0.274 0.117 0.826 0.459
gran_pwy296_pc5 2 2 0.835 -0.008 0.065 0.618
gran_pwy302_pc4 3 2 0.699 -0.032 0.09 0.709
gran_pwy305_pc4 2 1 0.761 -0.047 0.134 0.528
gran_pwy30_pc3 3 3 0.734 0.032 0.071 0.759
gran_pwy313_pc2 2 1 0.74 0.038 0.158 0.514
gran_pwy314_pc4 3 2 0.077 0.088 0.853 0.236
gran_pwy325_pc4 2 1 0.24 -0.103 0.865 0.435
gran_pwy329_pc4 2 2 0.834 0.021 0.066 0.64
gran_pwy32_pc2 2 2 0.037 -0.106 0.997 0.102
gran_pwy332_pc3 2 2 0.829 0.008 0.07 0.612
gran_pwy43_pc5 2 2 0.055 -0.114 0.992 0.2
gran_pwy47_pc1 2 1 0.281 0.186 0.818 0.464
gran_pwy4_pc3 3 3 0.592 0.057 0.166 0.54
gran_pwy50_pc5 2 2 0.559 -0.053 0.408 0.535
gran_pwy53_pc1 2 2 0.042 0.086 0.996 0.15
gran_pwy54_pc3 2 2 0.179 0.094 0.923 0.393
gran_pwy67_pc1 2 2 0.999 0 0 0.996
gran_pwy88_pc3 3 2 0.505 0.041 0.245 0.328
gran_pwy96_pc2 2 2 0.022 0.078 0.999 0.062
hct_pwy109_pc4 2 2 0.58 0.104 0.376 0.52
hct_pwy116_pc4 3 3 0.454 0.024 0.298 0.316
hct_pwy129_pc2 2 2 0.017 0.069 0.999 0.014
hct_pwy135_pc4 2 2 0.829 -0.025 0.07 0.639
hct_pwy136_pc4 4 4 0.591 -0.019 0.107 0.558
hct_pwy137_pc5 2 2 0.627 -0.047 0.306 0.515
