factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
bmi_pwy104_pc2 2 2 0.996 0.001 0.988 -0.0192508844428808 0.32877256333787 0.861
bmi_pwy110_pc2 3 3 0.072 0.34 0.171 0.3654912866709 2.06474009111123e-56 0.029
bmi_pwy123_pc2 2 2 0.295 -0.777 0.48 -0.800628300149571 5.41978988903617e-135 0.011
bmi_pwy142_pc3 2 2 0.88 -0.066 0.709 -0.0657815308628502 0.0155249356077476 0.705
bmi_pwy163_pc4 2 2 0.752 -0.122 0.669 0.176202789502875 6.81343772119697e-11 0.574
bmi_pwy190_pc5 2 2 0.911 0.043 0.791 0.0518968358061534 0.0530154297116056 0.75
bmi_pwy20_pc2 2 2 0.02 0.242 0.023 0.245823764534853 3.24280417170414e-16 0.378
bmi_pwy204_pc3 2 2 0.055 -0.215 0.033 -0.192281412092365 7.21064267381494e-22 0.189
bmi_pwy210_pc4 2 2 0.072 -0.195 0.176 -0.198235380776363 3.59184059046599e-30 0.249
bmi_pwy216_pc3 3 3 0.291 0.177 0.266 0.0821176354353916 0.000115117122782507 0.643
bmi_pwy218_pc2 2 2 0.041 0.362 0.013 0.306990610152803 2.21154760870075e-18 0.166
bmi_pwy220_pc5 2 2 0.554 0.116 0.539 -0.0490460228401726 0.000783144898556816 0.861
bmi_pwy225_pc4 2 2 0.697 -0.098 0.546 0.0805308694147057 3.28679552666122e-09 0.741
bmi_pwy245_pc5 2 2 0.787 0.066 0.584 -0.0794120668233419 3.59761984503204e-12 0.606
bmi_pwy260_pc5 2 2 0.166 -0.332 0.355 -0.317197441949065 2.19871580170522e-33 0.159
bmi_pwy263_pc2 2 2 0.121 -0.281 0.292 -0.282283244438182 1.8409439339506e-23 0.259
bmi_pwy267_pc5 2 2 0.1 0.169 0.102 0.166363895619299 6.56810272951919e-30 0.237
bmi_pwy294_pc1 2 2 0.837 -0.085 0.634 -0.11550790515601 0.000104735985826351 0.618
bmi_pwy299_pc4 4 4 0.648 -0.199 0.601 -0.193527881567106 0.639260210274595 0.608
bmi_pwy318_pc3 3 3 0.003 0.32 0.013 0.318189625071637 4.84927107027334e-36 0.142
bmi_pwy329_pc4 2 2 0.522 0.149 0.503 0.0293720080976672 0.174378733872177 0.842
bmi_pwy42_pc2 3 3 0.009 0.372 0.013 0.410026624688229 7.70252890989918e-61 0.039
bmi_pwy63_pc3 2 2 0.118 0.28 0.248 0.280926911623639 7.94892839207387e-42 0.081
bmi_pwy63_pc5 3 3 0.264 -0.17 0.254 -0.0740434283641948 1.14700200026211e-05 0.577
bmi_pwy69_pc1 2 2 0.11 0.277 0.246 0.279729388138615 1.26446929547669e-22 0.3
bmi_pwy80_pc1 2 2 0.617 0.362 0.523 0.283468047722099 1.95993823330385e-14 0.542
eo_pwy104_pc1 2 2 0.003 0.246 0.005 0.245868304092015 1.44893432601452e-24 0.16
eo_pwy107_pc1 2 2 0.502 0.109 0.507 0.0957486192574357 1.19343993191534e-09 0.571
eo_pwy124_pc3 2 2 0.748 0.115 0.698 -0.0669485111502934 0.0127867954644331 0.793
eo_pwy129_pc1 2 2 0.889 0.048 0.792 0.0383237217041258 0.254408688971995 0.789
eo_pwy13_pc4 3 3 0.038 -0.208 0.041 -0.272969483715414 2.13227943213072e-69 0.084
eo_pwy134_pc4 2 2 0.912 -0.036 0.821 -0.0364775669947224 0.224345234573669 0.736
eo_pwy141_pc5 2 2 0.859 -0.053 0.779 -0.00233003380601031 0.911137665969042 0.989
eo_pwy148_pc3 2 2 0.177 -0.177 0.185 -0.178675515139812 1.66708808937971e-27 0.405
eo_pwy148_pc5 4 4 0.025 0.197 0.03 0.174988626836631 7.18488978560772e-05 0.028
eo_pwy153_pc2 3 3 0.005 -0.195 0.025 -0.195128949347388 6.47572094049532e-29 0.393
eo_pwy172_pc5 2 2 0.957 0.013 0.907 0.0167622072086841 0.396394284074345 0.904
eo_pwy185_pc5 2 2 0.03 -0.214 0.066 -0.213290778516985 1.73413316997935e-18 0.386
eo_pwy192_pc2 2 2 0.06 -0.291 0.027 -0.328263967739771 6.57313469105268e-22 0.259
eo_pwy193_pc2 4 0 0.119 0.257 0.137 0.217560655240508 0.107332816572491 0.165
eo_pwy193_pc5 9 9 0.228 -0.031 0.223 -0.0402661015611352 0.0825796489060601 0.108
eo_pwy202_pc4 2 2 0.066 -0.283 0.125 -0.287297065748729 6.31155745088511e-23 0.486
eo_pwy204_pc1 2 2 0.82 0.129 0.656 0.12338613895626 0.000599149113422593 0.717
eo_pwy212_pc2 3 3 0.004 0.41 0.02 0.411578892499524 2.23752486630546e-70 0.036
eo_pwy22_pc4 4 4 0.005 0.265 0.006 0.270716220340671 1.54072518588963e-17 0.002
eo_pwy224_pc1 3 3 0.094 0.482 0.162 0.455529080110929 1.93342809551272e-48 0.208
eo_pwy225_pc1 2 2 0.459 -0.225 0.485 -0.0760600430548011 0.00251605053696062 0.752
eo_pwy228_pc1 2 2 0.103 -0.44 0.203 -0.433059419833226 4.97685715594709e-41 0.076
eo_pwy234_pc2 2 2 0.076 0.252 0.077 0.289124833269934 5.78634275349919e-22 0.146
eo_pwy238_pc3 3 0 0.8 0.038 0.778 0.00396493072629036 0.782620347812458 0.988
eo_pwy238_pc5 9 0 0.078 0.04 0.077 0.0453140267831697 0.0280545571760663 0.05
eo_pwy259_pc3 2 2 0.189 0.378 0.33 0.409108273162677 8.06810878922967e-35 0.062
eo_pwy263_pc1 2 2 0.855 0.12 0.749 0.164542230731804 1.39765167238118e-05 0.683
eo_pwy270_pc4 2 2 0.909 0.046 0.823 0.0397054498625872 0.249141892647677 0.882
eo_pwy271_pc3 2 0 0.056 0.328 0.099 0.310142677472283 1.44085276772555e-30 0.267
eo_pwy279_pc5 3 3 0.525 -0.132 0.578 0.211096269011895 5.66019589323561e-28 0.313
eo_pwy290_pc4 2 2 0.051 -0.396 0.039 -0.36155272398333 4.4096332319223e-35 0.121
eo_pwy300_pc2 2 0 0.131 -0.389 0.264 -0.40506155275796 4.68201903998671e-25 0.412
eo_pwy300_pc4 5 5 0.346 0.227 0.324 0.210033206843347 0.344575545545231 0.375
eo_pwy300_pc5 2 2 0.054 -0.223 0.105 -0.223458157017999 1.65262141042058e-29 0.394
eo_pwy302_pc1 2 2 0.466 0.252 0.449 0.0171284287735684 0.662098052105408 0.951
eo_pwy303_pc4 2 2 0.018 0.284 0.033 0.284208338373475 1.07551249343415e-29 0.407
eo_pwy303_pc5 2 2 0.03 0.284 0.049 0.285597827036554 9.95110299848393e-25 0.425
eo_pwy317_pc2 2 2 0.056 0.372 0.053 0.326344238915984 8.37674986277795e-17 0.452
eo_pwy320_pc3 8 0 0.118 0.035 0.101 0.0397349363401511 0.0522458225580769 0.07
eo_pwy321_pc5 8 0 0.051 0.048 0.04 0.0549030813298447 0.00676049889778299 0.022
eo_pwy322_pc1 2 2 0.041 0.217 0.083 0.221683161723254 1.17168603687267e-17 0.313
eo_pwy322_pc4 5 0 0.097 0.194 0.097 0.227493382200809 0.00719498842236734 0.055
eo_pwy323_pc5 4 0 0.001 -0.276 0.005 -0.2679027862292 3.40831552272268e-24 0.01
eo_pwy325_pc3 2 0 0.673 0.093 0.628 0.0752894644732131 3.59223838488035e-06 0.65
