factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
gran_pwy98_pc5 3 3 0.361 0.074 0.408 0.271
hct_pwy105_pc5 2 2 0.952 0.005 0.006 0.888
hct_pwy122_pc5 2 2 0.881 -0.011 0.035 0.762
hct_pwy140_pc5 2 2 0.161 -0.076 0.937 0.367
hct_pwy162_pc5 2 2 0.916 0.009 0.017 0.795
hct_pwy179_pc4 2 2 0.24 0.081 0.865 0.444
hct_pwy185_pc5 2 2 0.884 0.021 0.033 0.683
hct_pwy186_pc3 2 2 0.029 0.127 0.998 0.096
hct_pwy210_pc2 2 2 0.03 -0.125 0.998 0.032
hct_pwy213_pc1 2 2 0.013 0.107 1 0.035
hct_pwy213_pc2 2 2 0.843 -0.039 0.06 0.636
hct_pwy217_pc4 2 2 0.234 0.069 0.871 0.407
hct_pwy226_pc5 2 2 0.776 -0.021 0.118 0.611
hct_pwy240_pc3 2 2 0.742 0.034 0.156 0.572
hct_pwy241_pc4 2 2 0.938 0.01 0.009 0.917
hct_pwy24_pc5 2 2 0.929 -0.011 0.012 0.806
hct_pwy257_pc5 2 2 0.099 0.061 0.976 0.076
hct_pwy259_pc5 2 2 0.108 0.072 0.972 0.085
hct_pwy278_pc2 2 2 0.011 -0.057 1 0.047
hct_pwy285_pc3 2 2 0.94 -0.009 0.009 0.816
hct_pwy292_pc4 2 2 0.178 -0.073 0.923 0.38
hct_pwy316_pc3 2 2 0.394 -0.109 0.664 0.466
hct_pwy33_pc2 2 2 0.966 -0.006 0.003 0.949
hct_pwy43_pc1 2 2 0.559 -0.08 0.408 0.534
hct_pwy91_pc3 2 2 0.175 0.183 0.926 0.384
hgb_pwy112_pc5 2 2 0.405 0.046 0.647 0.437
hgb_pwy140_pc4 2 2 0.901 0.008 0.024 0.724
hgb_pwy166_pc5 2 1 0.094 -0.076 0.979 0.269
hgb_pwy177_pc1 2 2 0.151 0.073 0.945 0.367
hgb_pwy185_pc5 3 3 0.643 0.035 0.128 0.644
hgb_pwy193_pc2 2 1 0.136 0.094 0.955 0.247
hgb_pwy210_pc2 3 3 0.389 -0.077 0.374 0.341
hgb_pwy213_pc4 2 2 0.302 -0.057 0.791 0.152
hgb_pwy219_pc5 2 2 0.004 0.063 1 0.001
hgb_pwy238_pc5 2 0 0.103 0.077 0.974 0.076
hgb_pwy23_pc5 2 2 0.016 0.066 0.999 0.054
hgb_pwy259_pc5 2 2 0.046 0.067 0.995 0.038
hgb_pwy260_pc1 2 2 0.966 -0.007 0.003 0.951
hgb_pwy263_pc1 2 1 0.136 -0.132 0.955 0.323
hgb_pwy278_pc4 2 2 0.131 -0.124 0.958 0.346
hgb_pwy281_pc2 2 2 0.058 -0.063 0.992 0.208
hgb_pwy282_pc4 2 2 0.029 0.044 0.998 0.11
hgb_pwy286_pc1 2 2 0.743 0.039 0.154 0.629
hgb_pwy296_pc5 2 2 0.902 0.008 0.024 0.726
hgb_pwy321_pc5 2 0 0.09 0.083 0.98 0.073
hgb_pwy325_pc5 2 0 0.087 0.085 0.981 0.072
hgb_pwy33_pc2 2 2 0.966 -0.005 0.003 0.947
lymph_pwy101_pc2 2 2 0.001 0.056 1 0.001
lymph_pwy102_pc1 2 2 0.948 -0.008 0.007 0.901
lymph_pwy111_pc5 2 2 0.608 -0.053 0.333 0.507
lymph_pwy112_pc1 3 3 0.065 0.12 0.875 0.189
lymph_pwy113_pc1 2 2 0.103 -0.107 0.974 0.21
lymph_pwy118_pc3 3 3 0.337 -0.072 0.439 0.249
lymph_pwy119_pc1 4 4 0.388 -0.028 0.253 0.389
lymph_pwy119_pc2 2 2 0.894 -0.008 0.028 0.758
lymph_pwy120_pc5 4 4 0.934 -0.002 0.003 0.903
lymph_pwy121_pc4 2 2 0.702 -0.056 0.203 0.532
lymph_pwy121_pc5 2 2 0.024 -0.061 0.999 0.048
lymph_pwy125_pc1 2 2 0.05 0.133 0.994 0.146
lymph_pwy127_pc3 3 3 0.453 0.059 0.299 0.326
lymph_pwy135_pc3 2 2 0.27 0.201 0.831 0.462
lymph_pwy136_pc3 3 3 0.644 -0.087 0.126 0.596
lymph_pwy138_pc2 2 2 0.568 0.104 0.394 0.507
lymph_pwy142_pc3 3 3 0.013 -0.082 0.975 0.097
lymph_pwy143_pc3 2 2 0.02 -0.045 0.999 0.056
lymph_pwy144_pc1 2 2 0.04 0.125 0.996 0.09
lymph_pwy145_pc1 2 2 0.635 -0.09 0.295 0.512
lymph_pwy146_pc1 2 2 0.847 -0.021 0.057 0.785
lymph_pwy146_pc3 2 2 0.583 -0.038 0.372 0.567
lymph_pwy162_pc1 2 2 0.612 0.1 0.328 0.507
lymph_pwy162_pc2 2 2 0.68 -0.055 0.232 0.516
lymph_pwy167_pc3 2 1 0.856 0.023 0.05 0.715
lymph_pwy174_pc3 2 2 0.024 -0.049 0.999 0.064
lymph_pwy17_pc3 2 2 0.861 0.038 0.047 0.796
lymph_pwy182_pc1 2 2 0.844 0.014 0.059 0.646
lymph_pwy183_pc1 2 2 0.587 -0.084 0.365 0.507
lymph_pwy190_pc1 2 2 0.025 0.088 0.998 0.078
lymph_pwy194_pc3 2 2 0.671 0.041 0.244 0.564
lymph_pwy196_pc1 3 3 0.996 0 0 0.995
lymph_pwy1_pc3 2 2 0.903 0.013 0.023 0.767
lymph_pwy202_pc1 2 2 0.893 0.026 0.028 0.731
lymph_pwy203_pc1 2 2 0.054 0.107 0.993 0.13
lymph_pwy215_pc5 4 4 0.467 -0.041 0.187 0.497
lymph_pwy219_pc1 3 3 0.002 0.111 0.996 0.012
lymph_pwy222_pc5 3 3 0.946 -0.003 0.003 0.959
lymph_pwy224_pc4 2 2 0.399 -0.037 0.657 0.364
lymph_pwy226_pc4 2 2 0.963 0.004 0.003 0.912
lymph_pwy234_pc1 2 2 0.002 -0.074 1 0.002
lymph_pwy235_pc1 3 3 0.015 0.12 0.97 0.078
lymph_pwy236_pc4 3 3 0.504 0.024 0.246 0.5
lymph_pwy237_pc2 2 2 0.229 0.139 0.876 0.43
lymph_pwy240_pc1 3 3 0.711 0.03 0.084 0.717
lymph_pwy253_pc1 3 2 0.95 -0.005 0.003 0.966
lymph_pwy256_pc1 2 2 0.028 0.066 0.998 0.057
lymph_pwy258_pc1 2 2 0.046 0.072 0.995 0.103
lymph_pwy262_pc1 2 2 0.744 0.054 0.153 0.549
lymph_pwy267_pc1 3 3 0.009 0.133 0.981 0.066
lymph_pwy269_pc1 2 2 0.007 0.105 1 0.016
lymph_pwy275_pc1 2 2 0.206 0.111 0.899 0.423
lymph_pwy275_pc4 2 1 0.695 0.073 0.213 0.526
lymph_pwy284_pc4 2 2 0.963 -0.003 0.003 0.901
lymph_pwy287_pc5 2 2 0.615 0.067 0.323 0.507
lymph_pwy289_pc5 2 2 0.58 0.054 0.375 0.507
lymph_pwy290_pc4 2 2 0.701 -0.049 0.205 0.519
lymph_pwy292_pc4 2 2 0.258 0.073 0.845 0.459
lymph_pwy293_pc3 3 3 0.311 0.113 0.475 0.271
lymph_pwy295_pc3 2 2 0.821 0.016 0.077 0.612
lymph_pwy300_pc1 2 2 0.022 0.084 0.999 0.05
lymph_pwy300_pc3 3 3 0.328 0.056 0.451 0.247
lymph_pwy303_pc1 2 2 0.03 0.09 0.998 0.065
lymph_pwy303_pc2 2 2 0.343 0.159 0.737 0.468
lymph_pwy304_pc1 2 2 0.778 0.026 0.117 0.609
lymph_pwy305_pc1 3 3 0.399 0.047 0.361 0.369
lymph_pwy308_pc5 3 3 0.786 0.017 0.046 0.823
lymph_pwy309_pc2 2 2 0.009 0.078 1 0.021
lymph_pwy310_pc1 2 2 0.012 0.091 1 0.026
lymph_pwy311_pc1 2 2 0.011 0.091 1 0.017
lymph_pwy311_pc3 3 3 0.603 0.025 0.158 0.544
lymph_pwy313_pc2 2 2 0.151 0.117 0.945 0.312
lymph_pwy318_pc2 2 2 0.798 -0.044 0.097 0.606
lymph_pwy319_pc2 2 2 0.356 -0.155 0.719 0.5
lymph_pwy322_pc3 2 1 0.684 0.077 0.227 0.519
lymph_pwy325_pc3 2 2 0.026 0.083 0.998 0.065
lymph_pwy326_pc3 2 2 0.022 -0.088 0.999 0.053
lymph_pwy330_pc4 2 2 0.986 -0.001 0.001 0.966
lymph_pwy33_pc4 2 2 0.058 -0.084 0.992 0.108
lymph_pwy42_pc5 2 2 0.94 0.013 0.009 0.836
lymph_pwy43_pc4 2 2 0.93 -0.014 0.012 0.879
lymph_pwy56_pc1 2 2 0.907 -0.015 0.021 0.774
