factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy62_peer3 2 2 0.439 0.202 0.482
pwy164_peer5 2 2 0.786 0.063 0.659
pwy232_peer5 2 2 0.033 0.114 0.053
pwy253_peer1 2 2 0.054 -0.126 0.086
pwy325_peer5 2 2 0.046 0.122 0.088
pwy326_peer5 2 2 0.047 -0.176 0.113
pwy34_peer3 2 2 0.957 -0.021 0.915
pwy34_peer4 3 3 0.563 -5.29 0.52
pwy97_peer4 2 2 0.083 0.413 0.176
pwy99_peer4 2 2 0.083 -0.438 0.176
pwy102_peer2 2 2 0.946 0.01 0.89
pwy105_peer4 2 2 0.879 -0.037 0.773
pwy11_peer3 3 3 0.006 -0.151 0.013
pwy11_peer5 3 3 0.009 -27.242 0.024
pwy132_peer2 2 2 0.885 0.025 0.763
pwy133_peer1 3 3 0.717 -0.035 0.737
pwy146_peer1 2 2 0.899 -0.029 0.792
pwy178_peer1 2 2 0.916 -0.02 0.825
pwy178_peer4 2 2 0.841 0.056 0.713
pwy196_peer4 2 2 0.892 0.026 0.773
pwy197_peer3 2 2 0.136 0.224 0.248
pwy200_peer2 2 2 0.996 -0.001 0.996
pwy209_peer5 4 4 0.671 -0.043 0.69
pwy225_peer5 2 2 0.17 -0.232 0.329
pwy235_peer5 4 4 0.902 -0.021 0.878
pwy238_peer3 2 2 0.066 -0.152 0.136
pwy257_peer3 2 2 0.001 -0.122 0
pwy258_peer2 3 3 0.708 -0.14 0.725
pwy258_peer4 2 2 0.026 0.12 0.066
pwy277_peer3 2 2 0.927 0.017 0.841
pwy28_peer4 2 2 0.674 0.065 0.669
pwy284_peer3 2 2 0.158 0.208 0.278
pwy29_peer3 4 4 0.886 0.012 0.878
pwy297_peer3 3 3 0.009 -0.104 0.021
pwy301_peer3 2 2 0.113 -0.203 0.209
pwy305_peer4 2 2 0.177 0.205 0.298
pwy310_peer1 2 2 0.907 -0.055 0.808
pwy311_peer3 2 2 0.941 0.016 0.893
pwy321_peer3 3 3 0.016 -0.149 0.054
pwy325_peer5 4 4 0.924 -0.006 0.915
pwy326_peer5 3 3 0.71 -0.036 0.742
pwy34_peer3 2 2 0.976 0.008 0.948
pwy34_peer4 2 2 0.958 0.679 0.916
pwy47_peer3 2 2 0.136 0.102 0.116
pwy5_peer1 2 2 0.926 0.015 0.84
pwy52_peer2 2 2 0.904 0.02 0.805
pwy58_peer2 2 2 0.016 -0.117 0.027
pwy6_peer4 2 2 0.214 -0.247 0.346
pwy60_peer3 2 2 0.045 -0.13 0.04
pwy7_peer1 3 3 0.619 -0.075 0.638
pwy85_peer4 2 2 0.849 0.029 0.743
pwy97_peer3 3 3 0.587 0.083 0.549
pwy97_peer4 3 3 0.015 0.165 0.063
pwy105_peer4 3 3 0.567 0.059 0.517
pwy11_peer3 3 3 0.005 -0.146 0.022
pwy11_peer5 2 2 0.039 -24.456 0.073
pwy157_peer5 2 2 0.005 0.109 0.004
pwy169_peer3 3 3 0.328 0.086 0.295
pwy172_peer3 2 2 0.018 0.117 0.027
pwy178_peer4 2 2 0.765 0.077 0.624
pwy197_peer3 2 2 0.146 0.222 0.28
pwy209_peer5 4 4 0.669 -0.044 0.673
pwy225_peer5 2 2 0.07 -0.224 0.144
pwy235_peer5 3 3 0.784 0.059 0.806
pwy238_peer3 2 2 0.006 -0.141 0.02
pwy253_peer5 2 2 0.486 -0.074 0.473
pwy258_peer4 3 3 0.393 0.088 0.36
pwy275_peer5 3 3 0.096 0.158 0.073
pwy297_peer3 2 2 0.005 -0.112 0.007
pwy30_peer3 2 2 0.014 -0.18 0.037
pwy301_peer3 2 2 0.126 -0.201 0.243
pwy305_peer4 2 2 0.225 0.194 0.354
pwy311_peer3 2 2 0.967 -0.007 0.926
pwy321_peer3 3 3 0.002 -0.17 0.009
pwy325_peer5 2 2 0.626 0.055 0.607
pwy326_peer5 2 2 0.583 -0.064 0.595
pwy40_peer2 2 2 0.587 -0.066 0.593
pwy44_peer3 2 2 0.061 -0.099 0.062
pwy45_peer5 2 2 0.086 0.112 0.102
pwy47_peer3 2 2 0.081 0.095 0.066
pwy58_peer2 2 2 0.02 -0.117 0.031
pwy6_peer4 2 2 0.228 -0.247 0.37
pwy60_peer3 2 2 0.032 -0.124 0.052
pwy60_peer5 2 2 0.015 0.212 0.028
pwy85_peer4 2 2 0.808 0.039 0.695
pwy97_peer3 3 3 0.047 0.192 0.117
pwy97_peer4 3 3 0.006 0.122 0.028
pwy115_peer5 3 3 0.02 -0.16 0.013
pwy13_peer5 3 3 0.021 -0.186 0.022
pwy141_peer4 2 2 0.083 0.123 0.131
pwy16_peer5 2 2 0.539 -0.068 0.568
pwy206_peer4 2 2 0.192 0.5 0.289
pwy208_peer2 2 2 0.926 0.014 0.862
pwy235_peer5 2 2 0.219 -0.309 0.327
pwy264_peer2 2 2 0.435 0.135 0.435
pwy264_peer3 2 2 0.096 -20.761 0.155
pwy28_peer2 2 2 0.179 0.161 0.252
pwy316_peer5 2 2 0.997 0.001 0.996
pwy320_peer3 2 2 0.503 0.074 0.512
