factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.UC_pwy540_pc3 2 2 0.03 -0.312 0.998 0.091
EUR.UC_pwy561_pc3 3 3 0.707 0.104 0.086 0.696
EUR.UC_pwy566_pc5 3 3 0.465 0.257 0.286 0.312
EUR.UC_pwy571_pc4 2 2 0.017 -0.489 0.999 0.04
EUR.UC_pwy573_pc5 2 2 0.033 -0.228 0.997 0.097
EUR.UC_pwy579_pc1 2 2 0.895 -0.088 0.027 0.755
EUR.UC_pwy58_pc3 2 1 0.743 -0.425 0.155 0.573
EUR.UC_pwy595_pc1 2 2 0.107 0.713 0.972 0.259
EUR.UC_pwy597_pc5 2 2 0.031 0.494 0.998 0.063
EUR.UC_pwy603_pc5 2 2 0.113 -0.307 0.969 0.248
EUR.UC_pwy607_pc4 2 1 0.874 0.187 0.039 0.687
EUR.UC_pwy609_pc5 2 2 0.02 -0.562 0.999 0.054
EUR.UC_pwy628_pc5 2 2 0.877 0.065 0.037 0.709
EUR.UC_pwy638_pc5 2 2 0.151 0.322 0.945 0.319
EUR.UC_pwy641_pc5 2 2 0.078 0.619 0.985 0.219
EUR.UC_pwy642_pc4 2 2 0.005 -0.145 1 0.014
EUR.UC_pwy644_pc2 2 2 0.658 0.245 0.262 0.519
EUR.UC_pwy650_pc4 2 2 0.954 0.046 0.005 0.863
EUR.UC_pwy655_pc5 2 2 0.875 -0.069 0.038 0.709
EUR.UC_pwy657_pc1 2 2 0.03 0.75 0.998 0.085
EUR.UC_pwy660_pc4 2 2 0.067 -0.298 0.989 0.162
EUR.UC_pwy670_pc1 4 4 0.204 0.429 0.467 0.122
EUR.UC_pwy67_pc4 2 2 0.077 -0.341 0.985 0.168
EUR.UC_pwy686_pc4 2 2 0.075 0.263 0.986 0.168
EUR.UC_pwy719_pc2 2 2 0.076 -0.34 0.986 0.168
EUR.UC_pwy719_pc3 2 2 0.01 0.477 1 0.006
EUR.UC_pwy738_pc4 2 2 0.1 0.311 0.976 0.091
EUR.UC_pwy776_pc2 2 2 0.056 0.501 0.992 0.137
EUR.UC_pwy796_pc3 2 2 0.083 0.519 0.983 0.137
EUR.UC_pwy802_pc5 3 3 0.007 0.25 0.987 0.051
EUR.UC_pwy806_pc2 2 2 0.898 -0.15 0.026 0.724
EUR.UC_pwy806_pc3 2 2 0.664 0.209 0.254 0.519
EUR.UC_pwy810_pc1 2 2 0.875 -0.06 0.038 0.709
EUR.UC_pwy811_pc1 2 2 0.055 -0.599 0.993 0.191
EUR.UC_pwy816_pc3 2 2 0.003 0.623 1 0.011
EUR.UC_pwy826_pc2 3 3 0.014 -0.716 0.973 0.098
EUR.UC_pwy850_pc3 2 2 0.9 -0.076 0.025 0.67
EUR.UC_pwy867_pc4 2 2 0.085 0.364 0.982 0.171
EUR.UC_pwy869_pc4 2 2 0.085 0.364 0.982 0.171
EUR.UC_pwy872_pc4 2 2 0.085 0.364 0.982 0.171
EUR.UC_pwy873_pc4 2 2 0.085 0.364 0.982 0.171
EUR.UC_pwy874_pc4 2 2 0.085 0.364 0.982 0.171
EUR.UC_pwy881_pc3 2 1 0.823 0.284 0.075 0.578
EUR.UC_pwy907_pc4 2 2 0.023 0.673 0.999 0.071
EUR.UC_pwy908_pc1 3 3 0.545 0.173 0.207 0.42
EUR.UC_pwy909_pc5 2 2 0.874 -0.161 0.039 0.678
EUR.UC_pwy915_pc3 2 2 0.073 0.566 0.987 0.191
