factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mcv_pwy158_pc1 2 2 0.297 0.156 0.798 0.448
mcv_pwy188_pc2 2 2 0.97 -0.004 0.002 0.936
mcv_pwy188_pc4 2 2 0.529 0.16 0.454 0.495
mcv_pwy194_pc3 2 2 0.282 -0.158 0.816 0.415
mcv_pwy217_pc2 2 2 0.7 0.045 0.206 0.634
mcv_pwy220_pc3 2 2 0.727 0.031 0.173 0.62
mcv_pwy242_pc2 2 2 0.705 -0.107 0.199 0.546
mcv_pwy250_pc5 2 2 0.084 0.086 0.983 0.17
mcv_pwy257_pc1 2 2 0.731 0.04 0.169 0.66
mcv_pwy258_pc2 2 2 0.922 -0.011 0.015 0.822
mcv_pwy288_pc5 2 2 0.193 0.078 0.911 0.274
mcv_pwy294_pc4 2 2 0.221 -0.058 0.884 0.338
mcv_pwy305_pc5 2 2 0.982 0.002 0.001 0.964
mcv_pwy31_pc2 2 2 0.749 0.027 0.147 0.641
mcv_pwy330_pc2 2 2 0.017 0.082 0.999 0.032
mcv_pwy33_pc3 3 3 0.002 0.066 0.997 0.005
mcv_pwy55_pc3 2 2 0.925 0.012 0.014 0.834
mcv_pwy58_pc2 2 2 0.904 -0.012 0.023 0.793
mcv_pwy59_pc5 2 2 0.033 -0.114 0.997 0.085
mcv_pwy84_pc3 3 3 0.439 0.041 0.315 0.386
mcv_pwy94_pc2 2 2 0.326 0.2 0.76 0.466
mcv_pwy96_pc3 2 2 0.241 0.071 0.864 0.412
mono_pwy137_pc3 2 2 0.173 0.128 0.928 0.271
mono_pwy162_pc1 3 3 0.207 0.146 0.629 0.201
mono_pwy191_pc5 2 2 0.408 0.089 0.643 0.458
mono_pwy1_pc1 2 2 0.273 -0.237 0.827 0.387
mono_pwy1_pc2 2 2 0.024 0.094 0.999 0.064
mono_pwy202_pc2 2 2 0.194 0.1 0.91 0.295
mono_pwy210_pc3 2 2 0.667 0.062 0.249 0.589
mono_pwy214_pc2 2 2 0.913 0.013 0.018 0.843
mono_pwy22_pc1 2 2 0.936 -0.011 0.01 0.86
mono_pwy287_pc5 2 2 0.429 -0.126 0.611 0.466
mono_pwy291_pc1 2 2 0.31 0.242 0.781 0.473
mono_pwy304_pc5 2 2 0.226 -0.096 0.879 0.345
mono_pwy326_pc3 2 2 0.192 0.164 0.912 0.268
mono_pwy330_pc2 2 2 0.365 0.214 0.706 0.514
mono_pwy53_pc4 2 2 0.205 0.115 0.9 0.373
mono_pwy91_pc3 2 2 0.979 -0.003 0.001 0.961
mpv_pwy105_pc4 2 2 0.069 0.058 0.988 0.134
mpv_pwy10_pc3 2 2 0.351 -0.161 0.725 0.488
mpv_pwy115_pc5 4 4 0.763 -0.015 0.035 0.751
mpv_pwy119_pc3 2 2 0.067 0.154 0.989 0.098
mpv_pwy122_pc2 2 2 0.034 -0.086 0.997 0.065
mpv_pwy123_pc2 2 2 0.974 -0.003 0.002 0.947
mpv_pwy129_pc3 2 2 0.694 0.091 0.214 0.537
mpv_pwy131_pc2 2 2 0.016 0.09 0.999 0.028
mpv_pwy145_pc3 2 2 0.975 -0.006 0.001 0.945
mpv_pwy153_pc1 2 2 0.876 -0.045 0.037 0.797
mpv_pwy153_pc2 2 2 0.322 -0.191 0.766 0.259
mpv_pwy15_pc2 3 3 0.007 0.089 0.985 0.03
mpv_pwy17_pc2 2 2 0.059 -0.074 0.991 0.108
mpv_pwy192_pc1 2 2 0.104 0.102 0.973 0.188
mpv_pwy195_pc1 2 2 0.978 0.004 0.001 0.957
mpv_pwy20_pc5 2 2 0.075 0.081 0.986 0.121
mpv_pwy210_pc4 2 2 0.615 -0.123 0.324 0.49
mpv_pwy213_pc3 2 2 0.936 -0.008 0.01 0.877
mpv_pwy216_pc5 2 2 0.174 -0.063 0.927 0.31
mpv_pwy233_pc5 2 2 0.814 0.022 0.083 0.712
mpv_pwy238_pc2 2 2 0.869 0.017 0.042 0.768
mpv_pwy23_pc5 2 2 0.744 -0.045 0.153 0.631
mpv_pwy246_pc5 2 2 0.777 -0.048 0.117 0.624
mpv_pwy254_pc3 2 2 0.269 -0.097 0.832 0.375
mpv_pwy256_pc5 4 4 0.086 0.172 0.679 0.064
mpv_pwy268_pc5 2 2 0.029 -0.048 0.998 0.047
mpv_pwy282_pc1 2 2 0.692 -0.143 0.216 0.534
mpv_pwy299_pc3 2 2 0.11 -0.077 0.97 0.207
mpv_pwy302_pc2 2 2 0.355 -0.144 0.72 0.328
mpv_pwy302_pc5 2 2 0.32 -0.097 0.768 0.439
mpv_pwy309_pc2 3 3 0.772 0.022 0.052 0.78
mpv_pwy30_pc3 2 2 0.095 0.211 0.978 0.051
mpv_pwy311_pc1 2 2 0.226 -0.337 0.879 0.354
mpv_pwy312_pc5 2 2 0.69 0.031 0.219 0.627
mpv_pwy313_pc2 2 2 0.977 0.003 0.001 0.955
mpv_pwy314_pc2 2 2 0.725 0.047 0.175 0.591
mpv_pwy315_pc2 4 4 0.095 0.169 0.66 0.088
mpv_pwy326_pc2 2 2 0.892 0.015 0.028 0.803
mpv_pwy330_pc2 2 2 0.37 0.177 0.698 0.504
mpv_pwy330_pc5 2 2 0.873 0.034 0.039 0.782
mpv_pwy34_pc1 3 3 0.513 -0.059 0.238 0.47
mpv_pwy35_pc3 2 2 0.547 0.092 0.426 0.501
mpv_pwy40_pc2 2 2 0.151 0.083 0.945 0.268
mpv_pwy56_pc4 2 2 0.091 0.061 0.98 0.148
mpv_pwy57_pc2 2 2 0.236 0.162 0.869 0.392
mpv_pwy61_pc3 2 2 0.04 0.082 0.996 0.048
mpv_pwy63_pc2 2 2 0.885 -0.051 0.032 0.792
mpv_pwy6_pc2 5 5 0.001 0.091 0.944 0.007
mpv_pwy71_pc1 3 3 0.537 0.048 0.214 0.486
mpv_pwy77_pc3 4 4 0.611 -0.029 0.096 0.613
mpv_pwy91_pc1 2 2 0.014 -0.099 1 0.015
mpv_pwy94_pc1 2 2 0.246 -0.046 0.858 0.138
mpv_pwy95_pc2 2 2 0.968 -0.004 0.002 0.948
myeloid_wbc_pwy10_pc2 2 2 0.33 -0.141 0.755 0.459
myeloid_wbc_pwy11_pc2 2 2 0.037 -0.07 0.997 0.107
myeloid_wbc_pwy121_pc1 2 2 0.087 -0.099 0.981 0.232
myeloid_wbc_pwy122_pc5 2 2 0.061 -0.045 0.991 0.139
myeloid_wbc_pwy130_pc2 2 2 0.038 0.069 0.996 0.076
myeloid_wbc_pwy144_pc2 2 2 0.011 0.092 1 0.034
myeloid_wbc_pwy150_pc1 2 2 0.879 -0.025 0.036 0.693
myeloid_wbc_pwy152_pc3 2 2 0.556 -0.2 0.412 0.497
myeloid_wbc_pwy170_pc3 2 2 0.96 -0.005 0.004 0.881
myeloid_wbc_pwy188_pc2 2 2 0.964 0.005 0.003 0.891
myeloid_wbc_pwy230_pc3 2 2 0.976 0.002 0.001 0.934
myeloid_wbc_pwy23_pc1 2 2 0.246 -0.169 0.858 0.417
myeloid_wbc_pwy242_pc2 3 3 0.773 0.032 0.052 0.79
myeloid_wbc_pwy246_pc5 2 2 0.615 0.042 0.323 0.602
myeloid_wbc_pwy249_pc5 2 2 0.028 -0.078 0.998 0.084
myeloid_wbc_pwy267_pc3 2 2 0.926 0.01 0.013 0.813
myeloid_wbc_pwy287_pc2 2 2 0.949 -0.004 0.006 0.864
myeloid_wbc_pwy292_pc1 2 2 0.973 0.004 0.002 0.917
myeloid_wbc_pwy292_pc2 2 2 0.861 0.017 0.047 0.655
myeloid_wbc_pwy320_pc2 3 2 0.861 0.015 0.019 0.865
myeloid_wbc_pwy321_pc4 3 1 0.012 -0.147 0.976 0.069
myeloid_wbc_pwy329_pc3 2 2 0.837 0.023 0.064 0.623
myeloid_wbc_pwy67_pc1 2 2 0.789 -0.024 0.106 0.647
