factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy64_pc3 2 2 0.982 0.003 0.972
pwy67_pc1 2 2 0.864 -0.015 0.772
pwy74_pc1 2 2 0.904 -0.013 0.852
pwy8_pc1 2 2 0.857 -0.019 0.757
pwy83_pc1 2 2 0.834 0.013 0.702
pwy87_pc1 2 2 0.867 -0.015 0.777
pwy9_pc1 2 2 0.847 0.017 0.734
pwy91_pc1 2 2 0.866 -0.01 0.774
pwy92_pc1 2 2 0.852 -0.019 0.75
pwy93_pc1 2 2 0.841 -0.011 0.717
pwy96_pc5 3 3 0.023 -0.094 0.05
pwy97_pc1 2 2 0.874 -0.009 0.786
pwy97_pc4 2 2 0.665 -0.045 0.597
pwy98_pc1 2 2 0.852 0.019 0.75
pwy99_pc1 2 2 0.864 -0.012 0.772
pwy99_pc4 2 2 0.669 0.055 0.597
pwy127_pc3 4 4 0.48 0.008 0.478
pwy142_pc4 2 2 0.085 -0.031 0.162
pwy145_pc4 2 2 0.081 0.032 0.156
pwy167_pc2 3 3 0.072 0.019 0.154
pwy171_pc5 2 2 0.844 0.006 0.714
pwy184_pc5 2 2 0.002 0.023 0.002
pwy193_pc2 2 2 0.083 0.023 0.158
pwy193_pc5 7 0 0.015 0.025 0.025
pwy199_pc4 2 2 0.142 0.034 0.289
pwy214_pc3 2 2 0.722 0.032 0.565
pwy22_pc4 2 2 0.865 -0.011 0.739
pwy224_pc3 2 2 0.589 -0.043 0.515
pwy236_pc3 2 2 0.721 0.024 0.564
pwy238_pc5 11 0 0.033 -0.018 0.032
pwy268_pc3 2 2 0.641 -0.022 0.515
pwy277_pc3 3 3 0.003 -0.027 0.014
pwy30_pc5 2 2 0.189 0.048 0.279
pwy305_pc4 2 2 0.076 0.039 0.148
pwy320_pc3 10 0 0.136 -0.014 0.141
pwy321_pc5 8 0 0.007 -0.026 0.01
pwy325_pc4 8 0 0.008 -0.025 0.01
pwy325_pc5 3 0 0.132 0.054 0.215
pwy326_pc4 11 0 0.09 0.015 0.104
pwy4_pc2 2 2 0.132 -0.031 0.256
pwy76_pc2 2 2 0.016 0.053 0.027
pwy77_pc2 2 2 0.082 -0.042 0.029
pwy90_pc3 2 2 0.006 0.022 0.013
pwy11_pc1 2 2 0.003 0.085 0.007
pwy185_pc4 2 2 0.758 0.06 0.683
pwy189_pc5 2 2 0.931 -0.012 0.87
pwy193_pc5 2 0 0.244 0.05 0.385
pwy238_pc5 3 0 0.373 -0.033 0.351
pwy250_pc3 2 2 0.057 -0.096 0.09
pwy320_pc3 3 0 0.286 -0.036 0.307
pwy321_pc5 3 0 0.367 -0.037 0.358
pwy322_pc4 2 2 0.355 -0.167 0.482
pwy323_pc2 2 2 0.059 -0.04 0.082
pwy325_pc4 3 0 0.38 -0.034 0.363
pwy326_pc4 3 0 0.349 0.033 0.338
