factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy218_pc3 3 3 0.679 0.244 0.103 0.618
EUR.IBD_pwy221_pc2 2 2 0.119 0.217 0.966 0.277
EUR.IBD_pwy226_pc5 2 2 0.636 0.252 0.293 0.592
EUR.IBD_pwy233_pc2 3 3 0.665 -0.137 0.112 0.647
EUR.IBD_pwy237_pc2 2 2 0.029 0.666 0.998 0.062
EUR.IBD_pwy242_pc5 2 2 0.55 -0.231 0.422 0.499
EUR.IBD_pwy24_pc5 2 1 0.404 -2.05 0.648 0.523
EUR.IBD_pwy257_pc3 2 2 0.039 -0.353 0.996 0.084
EUR.IBD_pwy264_pc1 2 2 0.036 -0.873 0.997 0.085
EUR.IBD_pwy274_pc3 2 2 0.014 -0.816 1 0.051
EUR.IBD_pwy27_pc4 2 2 0.119 0.995 0.966 0.325
EUR.IBD_pwy281_pc4 3 3 0.485 -0.276 0.265 0.317
EUR.IBD_pwy283_pc4 4 4 0.799 -0.091 0.025 0.783
EUR.IBD_pwy287_pc1 2 2 0.762 0.177 0.133 0.649
EUR.IBD_pwy305_pc3 3 3 0.077 -0.933 0.852 0.122
EUR.IBD_pwy306_pc4 3 3 0.296 -0.816 0.496 0.259
EUR.IBD_pwy307_pc4 3 3 0.461 -0.231 0.291 0.278
EUR.IBD_pwy310_pc4 3 3 0.725 -0.316 0.076 0.786
EUR.IBD_pwy312_pc3 2 2 0.897 -0.104 0.026 0.7
EUR.IBD_pwy316_pc4 3 3 0.809 0.099 0.037 0.844
EUR.IBD_pwy324_pc3 2 2 0.75 -0.273 0.146 0.569
EUR.IBD_pwy324_pc4 2 2 0.94 -0.043 0.009 0.931
EUR.IBD_pwy325_pc2 2 2 0.006 -0.877 1 0.003
EUR.IBD_pwy325_pc3 2 2 0.044 -0.796 0.995 0.149
EUR.IBD_pwy326_pc2 2 2 0.006 -0.877 1 0.003
EUR.IBD_pwy326_pc3 2 2 0.044 -0.796 0.995 0.149
EUR.IBD_pwy32_pc3 3 3 0.849 0.134 0.023 0.899
EUR.IBD_pwy32_pc4 3 3 0.737 -0.199 0.069 0.779
EUR.IBD_pwy331_pc1 2 2 0.235 -0.615 0.869 0.398
EUR.IBD_pwy336_pc5 2 2 0.925 0.082 0.014 0.799
EUR.IBD_pwy337_pc1 2 2 0.247 -0.597 0.857 0.401
EUR.IBD_pwy342_pc4 2 2 0.976 0.021 0.001 0.963
EUR.IBD_pwy343_pc3 2 2 0.841 -0.154 0.061 0.752
EUR.IBD_pwy344_pc3 3 3 0.976 0.017 0.001 0.965
EUR.IBD_pwy345_pc3 2 2 0.849 -0.157 0.056 0.757
EUR.IBD_pwy346_pc4 4 4 0.815 -0.08 0.021 0.794
EUR.IBD_pwy34_pc3 3 3 0.316 -0.469 0.468 0.292
EUR.IBD_pwy353_pc2 3 3 0.622 0.338 0.143 0.522
EUR.IBD_pwy354_pc1 2 2 0.02 -0.523 0.999 0.049
EUR.IBD_pwy354_pc4 3 3 0.592 -0.144 0.167 0.457
EUR.IBD_pwy355_pc1 2 2 0.052 0.555 0.993 0.07
EUR.IBD_pwy355_pc4 2 2 0.997 0.002 0 0.989
EUR.IBD_pwy356_pc4 4 4 0.472 -0.279 0.183 0.537
EUR.IBD_pwy357_pc1 2 2 0.058 0.644 0.992 0.07
EUR.IBD_pwy357_pc4 4 4 0.387 0.321 0.253 0.36
EUR.IBD_pwy358_pc3 2 2 0.005 -0.856 1 0.015
EUR.IBD_pwy358_pc4 3 3 0.752 0.143 0.061 0.803
EUR.IBD_pwy360_pc3 2 2 0.528 -0.394 0.456 0.499
EUR.IBD_pwy361_pc3 3 3 0.223 1.927 0.604 0.249
EUR.IBD_pwy362_pc5 2 2 0.055 -1.091 0.993 0.155
EUR.IBD_pwy364_pc4 3 3 0.569 0.195 0.186 0.415
EUR.IBD_pwy365_pc4 2 2 0.97 0.027 0.002 0.95
EUR.IBD_pwy366_pc3 2 2 0.883 0.148 0.033 0.766
EUR.IBD_pwy372_pc3 2 2 0.884 -0.153 0.033 0.767
EUR.IBD_pwy373_pc3 2 2 0.872 0.152 0.04 0.761
EUR.IBD_pwy376_pc2 2 2 0.902 0.097 0.023 0.809
EUR.IBD_pwy377_pc4 2 2 0.032 0.307 0.997 0.073
EUR.IBD_pwy378_pc3 3 3 0.169 -0.593 0.691 0.188
EUR.IBD_pwy385_pc4 2 2 0.243 -1.215 0.861 0.399
EUR.IBD_pwy386_pc4 2 2 0.243 -1.215 0.861 0.399
EUR.IBD_pwy390_pc3 3 3 0.592 0.23 0.167 0.598
EUR.IBD_pwy393_pc5 2 2 0.945 0.067 0.007 0.881
EUR.IBD_pwy394_pc2 2 2 0.053 -0.684 0.993 0.121
EUR.IBD_pwy3_pc3 2 2 0.735 0.286 0.164 0.567
EUR.IBD_pwy3_pc4 3 3 0.611 0.196 0.151 0.501
EUR.IBD_pwy404_pc3 2 2 0.079 -0.2 0.985 0.216
EUR.IBD_pwy404_pc4 2 2 0.062 0.184 0.991 0.175
EUR.IBD_pwy405_pc5 2 2 0.776 0.265 0.118 0.556
EUR.IBD_pwy407_pc2 2 2 0.902 0.059 0.023 0.789
EUR.IBD_pwy409_pc4 4 4 0.163 -0.637 0.53 0.175
EUR.IBD_pwy415_pc1 2 2 0.878 -0.216 0.036 0.682
EUR.IBD_pwy417_pc2 2 2 0.03 -0.719 0.998 0.092
EUR.IBD_pwy419_pc4 2 2 0.106 0.898 0.972 0.308
EUR.IBD_pwy41_pc4 2 2 0.981 -0.022 0.001 0.97
EUR.IBD_pwy423_pc1 2 2 0.052 -0.859 0.993 0.076
EUR.IBD_pwy426_pc3 2 2 0.045 -0.491 0.995 0.113
EUR.IBD_pwy430_pc4 2 2 0.701 -0.39 0.205 0.599
EUR.IBD_pwy437_pc3 4 4 0.651 0.276 0.077 0.606
EUR.IBD_pwy44_pc2 2 2 0.025 -0.686 0.998 0.006
EUR.IBD_pwy461_pc4 3 3 0.602 -0.287 0.158 0.488
EUR.IBD_pwy462_pc2 3 3 0.184 1.249 0.666 0.207
EUR.IBD_pwy465_pc3 2 2 0.023 -0.575 0.999 0.005
EUR.IBD_pwy469_pc1 2 2 0.008 -0.925 1 0.014
EUR.IBD_pwy471_pc5 2 2 0.994 0.009 0 0.988
EUR.IBD_pwy474_pc3 2 2 0.037 0.576 0.997 0.115
EUR.IBD_pwy477_pc3 2 2 0.004 -0.732 1 0.008
EUR.IBD_pwy479_pc5 2 2 0.887 0.093 0.031 0.768
EUR.IBD_pwy482_pc3 2 2 0.991 0.014 0 0.971
EUR.IBD_pwy487_pc1 2 2 0.078 0.568 0.985 0.073
EUR.IBD_pwy487_pc4 2 2 0.992 -0.006 0 0.982
EUR.IBD_pwy501_pc5 2 2 0.001 0.709 1 0
EUR.IBD_pwy504_pc5 3 3 0.436 -0.284 0.318 0.302
EUR.IBD_pwy509_pc2 2 2 0.45 1.902 0.578 0.452
EUR.IBD_pwy515_pc4 2 2 0.92 -0.112 0.016 0.791
EUR.IBD_pwy517_pc3 2 2 0.012 -0.705 1 0.041
EUR.IBD_pwy524_pc1 2 2 0.912 0.111 0.019 0.729
EUR.IBD_pwy525_pc4 2 2 0.918 -0.093 0.016 0.75
