factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
hgb_pwy36_pc2 2 2 0.759 0.028 0.136 0.571
hgb_pwy46_pc5 2 2 0.022 -0.094 0.999 0.027
hgb_pwy56_pc3 2 2 0.258 -0.179 0.844 0.455
hgb_pwy68_pc1 2 2 0.028 0.097 0.998 0.092
hgb_pwy6_pc5 2 2 0.945 0.006 0.007 0.858
hgb_pwy85_pc3 2 2 0.123 -0.079 0.963 0.165
hgb_pwy92_pc5 2 2 0.128 -0.085 0.96 0.329
lymph_pwy106_pc4 2 2 0.122 0.08 0.964 0.334
lymph_pwy183_pc3 2 2 0.627 -0.053 0.305 0.546
lymph_pwy66_pc5 3 3 0.65 -0.034 0.123 0.653
lymph_pwy80_pc4 3 3 0.02 0.103 0.961 0.104
lymph_pwy82_pc4 2 2 0.898 0.014 0.025 0.748
lymph_pwy84_pc2 2 2 0.812 0.022 0.085 0.605
lymph_pwy92_pc3 2 2 0.065 -0.077 0.99 0.086
mch_pwy105_pc2 2 2 0.062 0.089 0.991 0.081
mch_pwy113_pc2 2 2 0.028 -0.081 0.998 0.039
mch_pwy114_pc3 2 2 0.071 -0.084 0.988 0.063
mch_pwy122_pc5 2 1 0.004 0.12 1 0.014
mch_pwy123_pc1 2 2 0.9 -0.018 0.025 0.818
mch_pwy144_pc5 2 2 0.757 0.058 0.139 0.624
mch_pwy146_pc3 3 3 0.753 -0.038 0.061 0.783
mch_pwy244_pc3 2 2 0.713 0.112 0.19 0.588
mch_pwy250_pc1 2 2 0.665 -0.119 0.252 0.556
mch_pwy279_pc5 2 2 0.074 0.067 0.987 0.098
mch_pwy300_pc1 2 2 0.633 -0.081 0.297 0.539
mch_pwy302_pc1 2 2 0.934 -0.012 0.011 0.902
mch_pwy305_pc1 2 2 0.894 0.014 0.028 0.812
mch_pwy307_pc4 2 2 0.02 -0.06 0.999 0.033
mch_pwy308_pc1 2 2 0.89 0.013 0.029 0.808
mch_pwy313_pc1 2 2 0.832 0.017 0.068 0.724
mch_pwy315_pc1 2 2 0.788 0.021 0.107 0.636
mch_pwy316_pc5 2 2 0.077 -0.059 0.985 0.106
mch_pwy318_pc1 3 3 0.391 -0.072 0.371 0.329
mch_pwy319_pc5 2 2 0.113 0.076 0.969 0.155
mch_pwy321_pc2 2 2 0.348 0.076 0.729 0.275
mch_pwy322_pc4 3 3 0.563 0.041 0.191 0.493
mch_pwy323_pc5 2 2 0.04 0.074 0.996 0.045
mch_pwy325_pc2 2 2 0.344 0.078 0.736 0.27
mch_pwy328_pc5 2 2 0.832 0.012 0.068 0.705
mch_pwy330_pc5 2 2 0.504 -0.048 0.494 0.524
mch_pwy4_pc1 2 2 0.847 -0.036 0.057 0.747
mch_pwy54_pc5 2 2 0.141 0.086 0.951 0.273
mchc_pwy117_pc3 2 2 0.002 -0.121 1 0.004
mchc_pwy141_pc1 2 2 0.052 -0.074 0.993 0.102
