factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling
pwy131_pc5 2 2 0.633 -0.046 0.583
pwy144_pc1 2 2 0.402 -0.24 0.429
pwy157_pc4 2 2 0.885 0.028 0.798
pwy157_pc5 2 2 0.771 -0.082 0.631
pwy161_pc5 2 2 0.263 -0.169 0.414
pwy21_pc5 2 2 0.143 0.198 0.265
pwy223_pc1 2 2 0.582 0.103 0.574
pwy234_pc5 2 2 0.013 0.12 0.029
pwy236_pc4 4 4 0.287 0.125 0.246
pwy245_pc1 2 2 0.094 -0.185 0.136
pwy264_pc3 2 2 0.292 -0.232 0.434
pwy279_pc2 3 3 0.427 -0.151 0.412
pwy291_pc3 2 2 0.716 -0.039 0.678
pwy291_pc4 3 3 0.015 0.094 0.046
pwy3_pc4 2 2 0.109 0.162 0.192
pwy317_pc2 2 2 0.936 0.019 0.889
pwy331_pc4 2 2 0.149 0.127 0.228
pwy40_pc3 2 2 0.061 -0.175 0.079
pwy43_pc2 2 2 0.035 -0.149 0.031
pwy48_pc3 2 2 0.911 0.019 0.846
pwy52_pc3 2 2 0.027 -0.168 0.055
pwy57_pc5 2 2 0.052 -0.209 0.104
pwy59_pc2 2 2 0.187 -0.151 0.292
pwy9_pc5 2 2 0.552 0.081 0.55
pwy95_pc3 3 3 0.001 0.242 0.004
pwy130_pc1 2 2 0.007 0.117 0.013
pwy131_pc3 2 2 0.003 0.148 0.003
pwy14_pc2 2 2 0.018 0.158 0.032
pwy141_pc4 2 2 0.892 0.018 0.801
pwy157_pc3 2 2 0.81 0.039 0.652
pwy167_pc3 3 3 0.012 -0.118 0.018
pwy193_pc4 3 3 0.365 -0.093 0.28
pwy194_pc1 4 4 0.088 -0.22 0.1
pwy245_pc3 3 3 0.803 0.028 0.83
pwy25_pc1 2 2 0.862 -0.044 0.722
pwy251_pc5 2 2 0.959 -0.009 0.92
pwy253_pc2 2 2 0.042 -0.14 0.064
pwy253_pc3 2 2 0.029 -0.105 0.051
pwy272_pc4 3 3 0.723 0.044 0.751
pwy275_pc3 2 2 0.132 0.119 0.242
pwy314_pc5 2 2 0.859 0.016 0.732
pwy317_pc3 2 2 0.865 -0.035 0.745
pwy32_pc1 2 2 0.023 -0.224 0.009
pwy57_pc5 2 2 0.025 -0.14 0.042
pwy8_pc2 2 2 0.059 0.191 0.115
pwy95_pc3 3 3 0.003 0.17 0.019
pwy10_pc4 2 2 0.049 0.095 0.11
pwy127_pc2 2 2 0.967 0.005 0.921
pwy129_pc4 2 2 0.466 0.093 0.466
pwy131_pc3 2 2 0.008 0.158 0.007
pwy141_pc2 2 2 0.035 0.104 0.043
pwy149_pc4 3 3 0.474 0.064 0.392
pwy152_pc2 2 2 0.996 0 0.993
pwy157_pc3 2 2 0.799 0.041 0.664
pwy163_pc4 2 2 0.984 -0.003 0.977
pwy167_pc3 3 3 0.016 -0.103 0.029
pwy174_pc5 2 2 0.014 -0.082 0.019
pwy193_pc4 3 3 0.329 -0.102 0.306
pwy194_pc1 4 4 0.1 -0.19 0.095
