factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mch_pwy83_pc5 2 2 0.176 -0.085 0.926 0.298
mchc_pwy119_pc2 3 3 0.5 -0.06 0.25 0.396
mchc_pwy131_pc4 3 3 0.571 0.05 0.184 0.499
mchc_pwy158_pc5 2 2 0.718 -0.033 0.183 0.641
mchc_pwy164_pc1 3 2 0.692 -0.041 0.095 0.68
mchc_pwy183_pc2 2 2 0.911 -0.013 0.019 0.789
mchc_pwy235_pc5 4 4 0.938 -0.003 0.002 0.902
mchc_pwy241_pc1 2 2 0.684 0.171 0.227 0.53
mchc_pwy241_pc5 3 3 0.828 -0.017 0.03 0.853
mchc_pwy24_pc1 2 2 0.855 -0.019 0.051 0.682
mchc_pwy272_pc2 2 2 0.004 -0.086 1 0.005
mchc_pwy293_pc2 2 2 0.897 0.014 0.026 0.753
mchc_pwy294_pc3 2 2 0.773 -0.036 0.122 0.564
mchc_pwy296_pc4 2 2 0.957 -0.003 0.005 0.876
mchc_pwy2_pc1 2 2 0.012 0.091 1 0.023
mchc_pwy303_pc4 2 2 0.23 0.098 0.875 0.419
mchc_pwy305_pc2 2 2 0.051 -0.091 0.994 0.141
mchc_pwy308_pc2 2 2 0.724 0.03 0.177 0.638
mchc_pwy328_pc1 2 1 0.936 0.007 0.01 0.843
mchc_pwy330_pc1 2 1 0.915 0.009 0.018 0.806
mchc_pwy50_pc4 2 2 0.132 0.106 0.957 0.228
mchc_pwy88_pc5 2 2 0.195 0.121 0.909 0.373
mchc_pwy92_pc1 2 2 0.005 0.098 1 0.014
mchc_pwy97_pc4 2 2 0.029 0.079 0.998 0.068
mcv_pwy120_pc3 2 2 0 -0.102 1 0
mcv_pwy144_pc5 2 2 0.715 0.069 0.187 0.588
mcv_pwy158_pc5 2 2 0.824 -0.031 0.075 0.72
mcv_pwy169_pc5 2 2 0.41 0.049 0.639 0.364
mcv_pwy16_pc4 3 3 0.904 -0.005 0.009 0.924
mcv_pwy174_pc5 2 2 0.842 0.017 0.06 0.686
mcv_pwy227_pc3 2 2 0.132 0.148 0.958 0.117
mcv_pwy238_pc4 3 3 0.01 -0.098 0.98 0.023
mcv_pwy252_pc1 2 2 0.339 -0.087 0.742 0.256
mcv_pwy252_pc2 2 2 0.659 0.047 0.26 0.571
mcv_pwy264_pc3 2 2 0.177 -0.137 0.924 0.26
mcv_pwy273_pc5 2 2 0.18 -0.104 0.922 0.339
mcv_pwy279_pc5 2 2 0.056 0.069 0.992 0.066
mcv_pwy27_pc5 2 2 0.145 0.096 0.949 0.285
mcv_pwy318_pc1 3 3 0.364 -0.068 0.405 0.279
mcv_pwy326_pc5 2 2 0.044 -0.087 0.995 0.026
mcv_pwy329_pc5 2 2 0.37 0.06 0.698 0.291
mcv_pwy44_pc3 2 2 0.213 0.152 0.892 0.371
mcv_pwy46_pc2 3 3 0.721 -0.036 0.078 0.708
mcv_pwy50_pc4 2 2 0.103 0.177 0.974 0.175
mono_pwy101_pc5 3 3 0.482 -0.03 0.269 0.397
mono_pwy105_pc2 2 2 0.143 0.124 0.95 0.272
mono_pwy113_pc2 3 3 0.281 0.198 0.517 0.248
mono_pwy117_pc2 2 2 0.528 0.098 0.456 0.54
mono_pwy117_pc5 2 2 0.149 0.071 0.946 0.256
mono_pwy122_pc4 2 2 0.441 0.02 0.592 0.43
mono_pwy124_pc4 3 3 0.65 -0.015 0.123 0.715
mono_pwy127_pc2 2 2 0.027 -0.073 0.998 0.057
mono_pwy128_pc4 2 2 0.837 -0.011 0.064 0.837
mono_pwy129_pc4 2 2 0.46 0.026 0.563 0.458
mono_pwy12_pc1 2 2 0.166 0.113 0.933 0.305
mono_pwy130_pc4 2 2 0.475 -0.029 0.539 0.481
mono_pwy131_pc2 2 2 0.491 0.026 0.514 0.474
mono_pwy136_pc4 2 2 0.559 -0.08 0.408 0.527
mono_pwy139_pc4 2 2 0.072 -0.054 0.987 0.149
mono_pwy140_pc4 3 3 0.508 0.038 0.242 0.534
mono_pwy142_pc4 2 2 0.677 0.019 0.236 0.701
mono_pwy143_pc2 4 4 0.257 -0.111 0.394 0.239
mono_pwy144_pc3 2 2 0.079 -0.176 0.985 0.159
mono_pwy147_pc3 2 2 0.147 -0.12 0.947 0.276
mono_pwy149_pc1 2 2 0.441 0.03 0.593 0.429
mono_pwy151_pc4 2 2 0.458 0.019 0.566 0.458
mono_pwy157_pc2 2 2 0.084 -0.14 0.983 0.171
mono_pwy161_pc4 2 2 0.001 0.054 1 0.002
mono_pwy165_pc3 2 2 0.985 -0.003 0.001 0.968
mono_pwy165_pc4 2 2 0.796 0.009 0.099 0.837
mono_pwy169_pc4 2 2 0.842 0.01 0.06 0.837
mono_pwy16_pc3 2 2 0.156 0.143 0.941 0.283
mono_pwy181_pc4 2 2 0.471 0.026 0.545 0.474
mono_pwy192_pc4 2 2 0.779 0.012 0.116 0.837
mono_pwy196_pc4 3 3 0.292 -0.045 0.501 0.256
mono_pwy199_pc2 2 2 0.498 -0.082 0.504 0.497
mono_pwy199_pc4 2 2 0.564 0.09 0.401 0.527
mono_pwy210_pc4 2 2 0.124 0.084 0.963 0.197
mono_pwy211_pc3 2 2 0.456 -0.034 0.568 0.457
mono_pwy211_pc4 2 2 0.826 0.009 0.073 0.837
mono_pwy212_pc2 3 3 0.598 0.081 0.162 0.521
mono_pwy223_pc4 2 2 0.445 -0.02 0.586 0.435
mono_pwy236_pc4 2 2 0.838 0.048 0.063 0.739
mono_pwy237_pc4 2 2 0.147 0.078 0.947 0.251
mono_pwy242_pc1 2 2 0.619 -0.039 0.317 0.662
mono_pwy258_pc1 2 2 0.059 -0.04 0.992 0.11
mono_pwy258_pc2 2 2 0.9 -0.013 0.024 0.819
mono_pwy266_pc4 2 2 0.219 -0.076 0.886 0.379
mono_pwy270_pc3 2 2 0.47 -0.055 0.547 0.481
mono_pwy274_pc4 2 2 0.825 0.013 0.073 0.837
mono_pwy277_pc5 2 2 0.103 -0.083 0.974 0.213
mono_pwy27_pc1 2 2 0.186 0.21 0.917 0.331
mono_pwy282_pc5 2 2 0.921 0.008 0.015 0.835
mono_pwy284_pc4 2 2 0.043 -0.052 0.995 0.084
mono_pwy288_pc4 2 2 0.124 0.059 0.962 0.199
mono_pwy291_pc5 2 2 0.11 0.066 0.971 0.175
mono_pwy293_pc3 2 2 0.145 0.08 0.949 0.258
mono_pwy294_pc2 3 3 0.292 -0.204 0.501 0.268
mono_pwy294_pc4 4 4 0.947 0.001 0.002 0.941
mono_pwy296_pc2 2 2 0.449 0.027 0.579 0.444
mono_pwy301_pc4 3 3 0.417 -0.025 0.34 0.417
mono_pwy310_pc2 2 2 0.474 0.038 0.541 0.479
mono_pwy31_pc2 3 3 0.028 -0.126 0.945 0.095
mono_pwy31_pc3 2 2 0.092 -0.091 0.979 0.154
mono_pwy328_pc2 2 2 0.184 0.074 0.919 0.172
mono_pwy331_pc4 2 2 0.039 -0.077 0.996 0.074
mono_pwy332_pc4 3 3 0.387 -0.038 0.376 0.426
mono_pwy3_pc2 2 2 0.921 0.014 0.015 0.84
mono_pwy61_pc5 2 2 0.603 0.08 0.341 0.576
mono_pwy74_pc3 2 2 0.716 0.186 0.186 0.603
mono_pwy81_pc2 2 2 0.115 -0.097 0.968 0.139
mono_pwy82_pc5 2 2 0.944 -0.009 0.008 0.889
mono_pwy97_pc2 3 3 0.291 -0.047 0.503 0.277
mpv_pwy101_pc4 2 2 0.786 -0.047 0.108 0.68
mpv_pwy103_pc2 2 2 0.169 -0.117 0.931 0.289
mpv_pwy140_pc1 3 3 0.045 -0.13 0.912 0.06
mpv_pwy166_pc5 2 2 0.014 -0.068 1 0.029
mpv_pwy177_pc1 2 2 0.766 0.078 0.129 0.633
mpv_pwy17_pc3 2 2 0.904 0.019 0.023 0.811
