factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
eo_pwy181_pc1 2 2 0.312 0.043 0.779 0.196
eo_pwy186_pc1 2 2 0.952 0.005 0.006 0.919
eo_pwy196_pc4 2 2 0.696 -0.043 0.211 0.537
eo_pwy208_pc2 3 3 0.781 0.015 0.048 0.791
eo_pwy209_pc5 2 2 0.075 0.104 0.986 0.176
eo_pwy210_pc5 2 2 0.995 0.001 0 0.989
eo_pwy212_pc1 3 3 0.052 -0.061 0.9 0.018
eo_pwy219_pc1 4 4 0.135 0.059 0.58 0.067
eo_pwy238_pc2 2 1 0.231 0.181 0.874 0.381
eo_pwy254_pc3 2 1 0.779 -0.043 0.116 0.571
eo_pwy256_pc2 2 2 0.038 0.058 0.996 0.004
eo_pwy25_pc1 2 2 0.935 -0.009 0.01 0.848
eo_pwy264_pc1 2 2 0.937 0.01 0.01 0.844
eo_pwy267_pc2 3 3 0.889 -0.011 0.012 0.912
eo_pwy26_pc2 3 3 0.02 0.106 0.96 0.067
eo_pwy284_pc1 3 3 0.491 -0.054 0.259 0.368
eo_pwy289_pc1 2 2 0.92 -0.01 0.016 0.82
eo_pwy294_pc1 3 3 0.13 -0.051 0.758 0.086
eo_pwy304_pc1 2 2 0.079 -0.075 0.984 0.018
eo_pwy310_pc1 2 2 0.084 -0.064 0.983 0.018
eo_pwy311_pc1 2 2 0.086 0.064 0.982 0.018
eo_pwy332_pc1 3 3 0.178 -0.064 0.676 0.123
eo_pwy52_pc2 2 2 0.066 -0.144 0.989 0.12
eo_pwy6_pc1 2 2 0.99 0.002 0 0.981
eo_pwy72_pc1 2 2 0.001 0.09 1 0
eo_pwy83_pc2 2 2 0.222 -0.167 0.884 0.405
eo_pwy97_pc1 3 3 0.574 0.049 0.182 0.517
gran_pwy105_pc2 2 2 0.074 -0.165 0.986 0.214
gran_pwy120_pc1 2 2 0.014 0.082 0.999 0.041
gran_pwy13_pc4 2 2 0.9 0.012 0.024 0.697
gran_pwy144_pc1 2 1 0.69 -0.066 0.219 0.49
gran_pwy160_pc3 2 2 0.091 -0.072 0.98 0.142
gran_pwy199_pc1 2 2 0.942 -0.009 0.008 0.831
gran_pwy200_pc2 2 2 0.881 0.017 0.035 0.794
gran_pwy205_pc1 2 2 0.779 0.034 0.115 0.607
gran_pwy262_pc1 2 2 0.906 0.016 0.022 0.717
gran_pwy291_pc2 2 2 0.08 -0.06 0.984 0.215
gran_pwy321_pc5 2 0 0.03 0.165 0.998 0.095
gran_pwy326_pc2 2 0 0.016 -0.141 0.999 0.045
gran_pwy36_pc5 2 2 0.003 -0.081 1 0.008
gran_pwy49_pc4 2 2 0.118 0.09 0.966 0.258
gran_pwy65_pc2 2 2 0.919 -0.009 0.016 0.827
hct_pwy172_pc5 3 3 0.822 0.02 0.032 0.868
hct_pwy17_pc5 2 2 0.957 -0.006 0.004 0.86
hct_pwy220_pc2 2 2 0.018 0.1 0.999 0.057
hct_pwy230_pc1 2 2 0.052 -0.095 0.993 0.168
hct_pwy300_pc1 2 2 0.962 -0.007 0.004 0.925
hct_pwy303_pc1 2 2 0.026 0.141 0.998 0.097
hct_pwy49_pc2 3 3 0.002 0.112 0.995 0.021
hct_pwy5_pc2 2 2 0.308 -0.12 0.784 0.45
hct_pwy64_pc4 2 2 0.567 0.047 0.396 0.524
hct_pwy83_pc5 2 2 0.832 0.049 0.068 0.638
hgb_pwy110_pc1 2 1 0.851 0.031 0.054 0.65
hgb_pwy172_pc5 2 2 0.977 -0.004 0.001 0.933
hgb_pwy174_pc1 2 2 0.708 0.017 0.196 0.556
hgb_pwy17_pc5 2 2 0.993 -0.001 0 0.98
hgb_pwy198_pc2 2 2 0.871 0.013 0.04 0.685
hgb_pwy1_pc4 2 2 0.357 -0.093 0.717 0.452
hgb_pwy209_pc4 2 2 0.092 0.12 0.979 0.057
hgb_pwy211_pc3 2 2 0.679 0.083 0.233 0.517
hgb_pwy213_pc4 2 2 0.979 0.003 0.001 0.933
hgb_pwy217_pc3 2 2 0 -0.082 1 0
hgb_pwy230_pc1 2 2 0.053 -0.09 0.993 0.179
hgb_pwy243_pc4 2 2 0.924 -0.011 0.014 0.779
hgb_pwy247_pc2 3 3 0.001 -0.123 0.998 0.003
hgb_pwy282_pc3 2 2 0.918 0.009 0.017 0.749
hgb_pwy303_pc1 2 2 0.047 0.129 0.995 0.157
hgb_pwy49_pc2 4 3 0.006 0.135 0.94 0.052
hgb_pwy56_pc3 2 2 0.853 -0.017 0.052 0.674
lymph_pwy104_pc4 2 2 0.495 -0.065 0.508 0.495
lymph_pwy113_pc2 2 2 0.851 0.022 0.054 0.67
lymph_pwy118_pc5 2 2 0.937 -0.005 0.01 0.819
lymph_pwy124_pc5 2 2 0.12 -0.041 0.965 0.248
lymph_pwy127_pc2 2 2 0.904 0.01 0.023 0.763
lymph_pwy129_pc4 2 2 0.185 0.094 0.918 0.314
lymph_pwy132_pc2 2 2 0.587 -0.065 0.365 0.545
lymph_pwy134_pc3 2 2 0.721 0.032 0.18 0.587
lymph_pwy149_pc4 2 2 0.969 0.003 0.002 0.903
lymph_pwy14_pc2 2 2 0.03 0.121 0.998 0.076
lymph_pwy152_pc3 2 2 0.119 0.093 0.965 0.289
lymph_pwy171_pc2 2 2 0.169 -0.074 0.931 0.34
lymph_pwy174_pc5 2 1 0.05 -0.107 0.994 0.075
lymph_pwy178_pc3 2 2 0.883 0.02 0.033 0.718
lymph_pwy180_pc4 2 2 0.98 0.001 0.001 0.933
lymph_pwy186_pc1 3 3 0.771 0.021 0.052 0.819
lymph_pwy189_pc3 2 2 0.084 -0.084 0.983 0.215
lymph_pwy20_pc5 2 2 0.982 -0.002 0.001 0.967
lymph_pwy213_pc3 2 2 0.075 0.101 0.986 0.197
lymph_pwy215_pc1 2 2 0.783 -0.058 0.111 0.581
lymph_pwy219_pc4 2 2 0.94 0.007 0.009 0.861
lymph_pwy235_pc4 3 3 0.673 -0.018 0.107 0.65
lymph_pwy237_pc4 2 2 0.974 0.002 0.002 0.931
lymph_pwy246_pc4 2 2 0.096 -0.053 0.978 0.218
lymph_pwy249_pc5 2 2 0.267 0.129 0.834 0.467
lymph_pwy255_pc4 2 2 0.051 0.082 0.993 0.129
lymph_pwy261_pc4 2 2 0.808 -0.021 0.088 0.636
lymph_pwy263_pc4 2 2 0.157 0.171 0.94 0.309
lymph_pwy267_pc5 2 2 0.997 0 0 0.988
lymph_pwy268_pc5 2 2 0.821 0.016 0.077 0.618
lymph_pwy281_pc4 2 1 0.296 -0.054 0.798 0.277
lymph_pwy283_pc5 4 4 0.297 0.019 0.345 0.282
lymph_pwy292_pc5 2 2 0.963 0.002 0.003 0.889
lymph_pwy319_pc4 3 3 0.641 0.018 0.129 0.613
lymph_pwy320_pc2 2 1 0.24 -0.094 0.864 0.42
lymph_pwy321_pc3 2 1 0.934 0.01 0.011 0.849
lymph_pwy321_pc4 3 2 0.488 0.061 0.262 0.325
lymph_pwy322_pc5 2 2 0.05 0.047 0.994 0.018
lymph_pwy323_pc4 2 1 0.921 -0.013 0.015 0.839
lymph_pwy325_pc3 2 1 0.881 0.02 0.035 0.713
lymph_pwy325_pc4 2 1 0.161 0.137 0.937 0.366
lymph_pwy326_pc4 3 2 0.814 -0.02 0.035 0.834
lymph_pwy326_pc5 2 1 0.188 -0.141 0.916 0.401
lymph_pwy327_pc4 2 2 0.086 -0.076 0.982 0.224
lymph_pwy328_pc3 3 3 0.436 -0.048 0.318 0.292
lymph_pwy329_pc4 2 2 0.078 0.107 0.985 0.201
lymph_pwy47_pc4 2 2 0.042 -0.047 0.996 0.112
lymph_pwy48_pc4 2 2 0.123 -0.117 0.963 0.267
lymph_pwy56_pc4 2 2 0.015 -0.043 0.999 0.027
lymph_pwy81_pc3 2 2 0.929 0.01 0.013 0.815
lymph_pwy93_pc1 2 2 0.094 0.093 0.978 0.237
mch_pwy123_pc2 3 3 0.74 -0.021 0.068 0.764
mch_pwy125_pc3 2 1 0.218 0.112 0.888 0.34
mch_pwy131_pc3 2 2 0.113 0.048 0.969 0.247
mch_pwy137_pc3 2 2 0.003 0.047 1 0
mch_pwy145_pc2 2 2 0.963 0.003 0.003 0.901
mch_pwy150_pc3 2 2 0.975 0.003 0.002 0.948
mch_pwy164_pc4 2 2 0.023 -0.093 0.999 0.048
mch_pwy174_pc5 2 2 0.007 -0.048 1 0.007
mch_pwy176_pc2 4 4 0.468 -0.032 0.186 0.475
mch_pwy177_pc3 2 2 0.493 0.048 0.51 0.466
mch_pwy181_pc3 2 2 0.974 0.003 0.002 0.957
mch_pwy191_pc2 2 2 0.008 0.051 1 0.02
mch_pwy193_pc5 3 2 0.354 0.081 0.417 0.28
mch_pwy195_pc4 4 4 0.255 0.058 0.397 0.205
mch_pwy1_pc5 2 2 0.278 0.162 0.821 0.432
mch_pwy204_pc2 2 2 0.934 0.01 0.011 0.858
mch_pwy210_pc2 2 2 0.969 0.006 0.002 0.916
mch_pwy213_pc5 2 2 0.922 -0.008 0.015 0.871
mch_pwy219_pc1 2 2 0.06 0.108 0.991 0.131
mch_pwy219_pc2 2 2 0.059 0.087 0.991 0.13
