factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
LDL_pwy50_peer3 2 2 0.109 1.039 0.147 0.8756536879366 1.07194288471117e-41 0.259
LDL_pwy6_peer2 3 3 0.842 -0.183 0.851 -0.639945323662052 8.50535605693666e-25 0.493
LDL_pwy74_peer1 3 3 0.964 0.055 0.962 0.670261995014119 2.4724100555149e-12 0.615
LDL_pwy78_peer3 2 2 0.058 -0.452 0.089 -0.457044000720454 4.81251078958849e-28 0.399
LDL_pwy84_peer2 2 2 0.129 -0.565 0.198 -0.565235038534302 8.11991564751343e-24 0.567
LDL_pwy85_peer4 2 2 0.411 0.16 0.488 0.104524076234076 2.01225990041294e-22 0.596
LDL_pwy93_peer4 2 2 0.139 -1.105 0.238 -1.15692945894355 1.18212039835658e-25 0.122
SCZ_pwy104_peer5 2 2 0.066 0.83 0.191 0.840102396069739 2.14097421039007e-21 0.22
SCZ_pwy119_peer2 3 3 0.004 1.852 0.008 2.00915133362593 1.33272452375604e-36 0.057
SCZ_pwy127_peer2 2 2 0.934 -0.203 0.855 -0.106551785523596 0.649894461513322 0.895
SCZ_pwy176_peer3 2 2 0.938 0.275 0.768 0.129648294473621 0.656219646066355 0.876
SCZ_pwy181_peer5 2 2 0.018 -1.408 0.076 -1.39923995257659 1.02563604444294e-14 0.496
SCZ_pwy183_peer3 2 2 0.043 1.992 0.174 1.99218262944196 2.33687723878127e-17 0.493
SCZ_pwy183_peer4 2 2 0.079 1.285 0.215 1.30275237432375 6.8294168946786e-18 0.433
SCZ_pwy183_peer5 2 2 0.812 0.477 0.638 0.0402227602743481 0.83135156174831 0.953
SCZ_pwy184_peer3 2 2 0.9 -0.331 0.821 -0.348519486980003 0.135834334689713 0.831
SCZ_pwy203_peer1 2 2 0.125 -1.476 0.211 -1.43637218490678 1.02118654297689e-16 0.382
SCZ_pwy203_peer2 2 2 0.106 -1.132 0.189 -1.10540464512924 7.14902789954966e-17 0.373
SCZ_pwy203_peer4 2 2 0.088 -0.187 0.176 -0.18331068508125 5.4190723654821e-17 0.371
SCZ_pwy21_peer1 2 2 0.742 -1.349 0.595 -0.615134539396876 0.0410606751932148 0.692
SCZ_pwy242_peer5 2 2 0.054 -2.327 0.032 -1.99077482494296 6.43609642367171e-16 0.191
SCZ_pwy259_peer5 2 2 0.957 -0.121 0.854 -0.0735987084255149 0.724374620836593 0.902
SCZ_pwy260_peer4 3 3 0.556 0.782 0.45 0.625978449972797 9.65041911083838e-05 0.642
SCZ_pwy269_peer3 2 2 0.004 3.309 0.015 3.3086884130552 1.39567704054696e-15 0.539
SCZ_pwy269_peer4 2 2 0.91 -0.44 0.757 -0.493378716541109 0.173527789126148 0.78
SCZ_pwy289_peer4 2 2 0.002 4.449 0.004 4.44978057707194 4.08719855833632e-18 0.351
SCZ_pwy304_peer3 4 4 0.003 -2.536 0.008 -2.68342255531504 2.0230090155658e-17 0.002
SCZ_pwy309_peer1 2 2 0.011 4.431 0.043 4.43208105424798 2.58798227463912e-21 0.328
SCZ_pwy310_peer3 2 2 0.093 2.706 0.244 2.72056956045297 6.7224170988569e-21 0.361
SCZ_pwy317_peer2 2 2 0.022 3.62 0.076 3.63135711528443 2.19713632968178e-16 0.457
SCZ_pwy318_peer4 2 2 0.993 0.025 0.965 -0.3476136420235 0.163555365904201 0.889
