factors	hsq	SE	zscore	pval	qvalues
pwy124_pc3	1e-06	1.227546	8.14633423105937e-07	0.999999350016569	0.999999406061019
pwy124_pc4	0.27354	0.933288	0.293092807364929	0.76945121438076	0.999999406061019
pwy124_pc5	1e-06	1.09678	9.11759878918288e-07	0.999999272520869	0.999999406061019
pwy125_pc1	0.1466	1.008497	0.14536483499703	0.884422827324401	0.999999406061019
pwy125_pc2	1e-06	1.034707	9.6645717096724e-07	0.999999228878745	0.999999406061019
pwy125_pc3	1e-06	1.087165	9.19823577837771e-07	0.999999266086969	0.999999406061019
pwy125_pc4	1e-06	0.88857	1.12540373859122e-06	0.999999102057732	0.999999406061019
pwy125_pc5	1e-06	0.96154	1.03999833600266e-06	0.999999170201384	0.999999406061019
pwy126_pc1	0.002437	1.149355	0.00212031965754706	0.998308230948906	0.999999406061019
pwy126_pc2	1e-06	0.979302	1.02113546178809e-06	0.999999185251781	0.999999406061019
pwy126_pc3	1e-06	0.992648	1.00740645223685e-06	0.999999196205945	0.999999406061019
pwy126_pc4	0.199569	0.85764	0.232695536588779	0.815997835375979	0.999999406061019
pwy126_pc5	1e-06	0.882122	1.13363004210302e-06	0.999999095494092	0.999999406061019
pwy127_pc1	0.745754	0.939438	0.793829928105953	0.427294447147007	0.999999406061019
pwy127_pc2	1e-06	1.166866	8.56996433180845e-07	0.999999316215777	0.999999406061019
pwy127_pc3	1e-06	0.87738	1.13975700380679e-06	0.999999090605484	0.999999406061019
pwy127_pc4	0.999999	1.180484	0.847109321261449	0.396934190042128	0.999999406061019
pwy127_pc5	0.999999	1.102232	0.907249109080484	0.36427507939198	0.999999406061019
pwy128_pc1	1e-06	0.92107	1.08569381263096e-06	0.999999133741669	0.999999406061019
pwy128_pc2	1e-06	1.076873	9.28614609150754e-07	0.99999925907274	0.999999406061019
pwy128_pc3	0.999999	1.072773	0.932162722216163	0.351252437305882	0.999999406061019
pwy128_pc4	1e-06	0.972802	1.02795841291445e-06	0.999999179807853	0.999999406061019
pwy128_pc5	1e-06	0.849463	1.17721431068805e-06	0.999999060718877	0.999999406061019
pwy129_pc1	1e-06	1.002004	9.98000007984e-07	0.999999203711202	0.999999406061019
pwy129_pc2	0.200173	1.032508	0.193870652818186	0.846277163356944	0.999999406061019
pwy129_pc3	0.999999	1.231182	0.81222678694133	0.416661511694248	0.999999406061019
pwy129_pc4	1e-06	0.871632	1.14727316115058e-06	0.999999084608458	0.999999406061019
pwy129_pc5	1e-06	1.159849	8.62181197724876e-07	0.999999312078934	0.999999406061019
pwy13_pc1	1e-06	0.988273	1.01186615439256e-06	0.999999192647618	0.999999406061019
pwy13_pc2	0.999999	0.990982	1.00909905528052	0.312927131025142	0.999999406061019
pwy13_pc3	1e-06	0.832566	1.2011059783849e-06	0.999999041656084	0.999999406061019
pwy13_pc4	1e-06	0.882058	1.13371229556333e-06	0.999999095428463	0.999999406061019
pwy13_pc5	0.95447	0.716544	1.33204660146481	0.182844875585979	0.999999406061019
pwy130_pc1	1e-06	0.971479	1.02935832889851e-06	0.999999178690882	0.999999406061019
pwy130_pc2	1e-06	0.85452	1.17024762439732e-06	0.999999066277488	0.999999406061019
pwy130_pc3	1e-06	1.002964	9.97044759333336e-07	0.99999920447338	0.999999406061019
pwy130_pc4	1e-06	0.803919	1.24390641345708e-06	0.999999007506278	0.999999406061019
pwy130_pc5	1e-06	0.769145	1.30014496616373e-06	0.999998962634405	0.999999406061019
pwy131_pc1	0.004588	1.009405	0.00454525190582571	0.996373426166475	0.999999406061019
pwy131_pc2	1e-06	1.004959	9.95065470332621e-07	0.999999206052624	0.999999406061019
pwy131_pc3	0.61351	1.002252	0.612131479907249	0.540450771278579	0.999999406061019
pwy131_pc4	1e-06	0.917925	1.08941362311736e-06	0.99999913077369	0.999999406061019
pwy131_pc5	1e-06	1.089455	9.17890137729415e-07	0.999999267629631	0.999999406061019
pwy132_pc1	0.218941	1.27209	0.172111249990174	0.863350068529162	0.999999406061019
pwy132_pc2	0.999999	1.09592	0.912474450689831	0.361519013124277	0.999999406061019
pwy132_pc3	0.999999	0.919436	1.08762219447574	0.276761928592874	0.999999406061019
pwy132_pc4	1e-06	0.983157	1.01713154664006e-06	0.999999188446443	0.999999406061019
pwy133_pc1	0.338935	0.981875	0.345191597708466	0.729950335058859	0.999999406061019
pwy133_pc2	1e-06	1.19545	8.36505081768372e-07	0.99999933256551	0.999999406061019
pwy133_pc3	1e-06	0.812522	1.23073590622777e-06	0.999999018014822	0.999999406061019
pwy133_pc4	1e-06	1.086596	9.20305246844273e-07	0.999999265702652	0.999999406061019
pwy133_pc5	0.670523	0.793025	0.845525676996312	0.397817402631861	0.999999406061019
pwy134_pc1	0.033905	0.937099	0.0361808090714001	0.971138188112264	0.999999406061019
pwy134_pc2	1e-06	1.08891	9.18349542202753e-07	0.999999267263079	0.999999406061019
pwy134_pc3	1e-06	1.047206	9.54921954228681e-07	0.999999238082516	0.999999406061019
pwy134_pc4	1e-06	1.045371	9.56598183802688e-07	0.999999236745078	0.999999406061019
pwy134_pc5	1e-06	1.023841	9.76714157764731e-07	0.999999220694853	0.999999406061019
pwy135_pc1	0.348006	0.919603	0.378430692374862	0.705110671307506	0.999999406061019
pwy135_pc2	1e-06	1.116145	8.95940939573263e-07	0.999999285142557	0.999999406061019
pwy135_pc3	1e-06	1.108242	9.02329996517006e-07	0.999999280044827	0.999999406061019
pwy135_pc4	1e-06	0.993842	1.00619615592821e-06	0.999999197171622	0.999999406061019
pwy135_pc5	1e-06	1.124777	8.89065121352944e-07	0.999999290628666	0.999999406061019
pwy136_pc1	0.137067	0.964508	0.142110796385307	0.886992490448234	0.999999406061019
pwy136_pc2	1e-06	1.104293	9.0555676799545e-07	0.999999277470236	0.999999406061019
pwy136_pc3	1e-06	1.06603	9.38059904505502e-07	0.999999251536485	0.999999406061019
pwy136_pc4	1e-06	1.039561	9.61944513116594e-07	0.999999232479325	0.999999406061019
pwy136_pc5	1e-06	1.095359	9.12942697325717e-07	0.999999271577117	0.999999406061019
pwy137_pc1	1e-06	1.008112	9.91953275032933e-07	0.999999208535797	0.999999406061019
pwy137_pc2	1e-06	1.110055	9.00856263878817e-07	0.999999281220696	0.999999406061019
pwy137_pc3	1e-06	1.060048	9.43353508520369e-07	0.9999992473128	0.999999406061019
pwy137_pc4	1e-06	0.891116	1.12218835707136e-06	0.999999104623236	0.999999406061019
pwy137_pc5	0.460713	1.062262	0.433709386196626	0.664499489759849	0.999999406061019
pwy138_pc1	0.514649	0.887988	0.579567516678153	0.562206303774139	0.999999406061019
pwy138_pc2	1e-06	1.174923	8.51119605284772e-07	0.999999320904808	0.999999406061019
pwy138_pc3	1e-06	1.225716	8.1584967480232e-07	0.999999349046141	0.999999406061019
pwy138_pc4	1e-06	0.862501	1.15941894560122e-06	0.999999074917524	0.999999406061019
pwy138_pc5	0.8237	0.776604	1.06064351973464	0.288851936781421	0.999999406061019
pwy139_pc1	0.110687	1.09804	0.100804160139886	0.919705924351715	0.999999406061019
pwy139_pc2	1e-06	0.977204	1.02332778007458e-06	0.999999183502564	0.999999406061019
pwy139_pc3	1e-06	1.086393	9.20477212205896e-07	0.999999265565444	0.999999406061019
pwy139_pc4	1e-06	0.958305	1.04350911244332e-06	0.99999916740019	0.999999406061019
pwy139_pc5	0.608117	0.97178	0.625776410298627	0.531461606654704	0.999999406061019
pwy14_pc1	0.66277	1.098571	0.603301925865511	0.546307852015062	0.999999406061019
pwy14_pc2	0.636647	1.058893	0.601238274311002	0.547681295268529	0.999999406061019
pwy14_pc3	0.999999	1.103252	0.906410321485934	0.364718711700459	0.999999406061019
pwy14_pc4	0.346563	1.143095	0.303179525761201	0.761753051248049	0.999999406061019
pwy14_pc5	0.999999	0.933795	1.07089778805841	0.284215390561162	0.999999406061019
pwy140_pc1	0.830693	0.898838	0.92418544832328	0.355389770604445	0.999999406061019
pwy140_pc2	1e-06	1.098684	9.10179815124276e-07	0.999999273781578	0.999999406061019
pwy140_pc3	1e-06	0.983845	1.01642026945301e-06	0.99999918901396	0.999999406061019
pwy140_pc4	0.451206	0.916881	0.492109663086049	0.6226418214861	0.999999406061019
pwy140_pc5	1e-06	1.00449	9.95530069985764e-07	0.999999205681927	0.999999406061019
pwy141_pc1	1e-06	0.925674	1.08029392637149e-06	0.999999138050155	0.999999406061019
pwy141_pc2	1e-06	1.085339	9.2137111077737e-07	0.999999264852216	0.999999406061019
pwy141_pc3	1e-06	0.913334	1.09488971175933e-06	0.999999126404403	0.999999406061019
pwy141_pc4	1e-06	1.04909	9.53207065170767e-07	0.999999239450799	0.999999406061019
pwy141_pc5	0.865555	0.838356	1.03244325799541	0.301864516105111	0.999999406061019
pwy142_pc1	0.064297	0.91891	0.0699709438356313	0.944216786397453	0.999999406061019
pwy142_pc2	1e-06	1.231266	8.12172187001022e-07	0.999999351980351	0.999999406061019
pwy142_pc3	1e-06	1.144077	8.74067042690308e-07	0.999999302595401	0.999999406061019
pwy142_pc4	0.085629	0.956567	0.0895169914914481	0.928671050536195	0.999999406061019
pwy142_pc5	1e-06	1.016543	9.83726217189042e-07	0.999999215100039	0.999999406061019
pwy143_pc1	0.051985	0.999898	0.0519903030109071	0.95853642004181	0.999999406061019
pwy143_pc2	1e-06	1.080574	9.2543407485281e-07	0.99999926161044	0.999999406061019
