factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
T1D_pwy134_pc4 2 2 0.431 2.593 0.607 0.534
T1D_pwy172_pc4 2 2 0.235 -1.241 0.87 0.37
T1D_pwy187_pc5 2 2 0.706 0.205 0.198 0.618
T1D_pwy251_pc1 2 2 0.861 -0.223 0.047 0.761
T1D_pwy254_pc1 2 2 0.074 0.67 0.987 0.158
T1D_pwy293_pc1 2 2 0.01 -0.801 1 0.027
T1D_pwy297_pc1 2 2 0.082 0.484 0.984 0.2
T1D_pwy327_pc2 2 2 0.737 -1.626 0.161 0.575
T1D_pwy34_pc2 2 2 0.155 -1.102 0.942 0.274
T1D_pwy3_pc4 2 2 0.23 2.145 0.875 0.36
T1D_pwy68_pc3 2 2 0.936 -0.091 0.01 0.849
T1D_pwy68_pc4 2 2 0.094 -0.614 0.978 0.261
T1D_pwy6_pc5 2 2 0.423 -2.838 0.62 0.533
T1D_pwy77_pc4 2 2 0.103 -0.971 0.974 0.234
T1D_pwy84_pc1 3 3 0.897 -0.051 0.011 0.912
T1D_pwy86_pc5 2 2 0.055 0.448 0.993 0.131
T2Dbmiadj_pwy102_pc3 4 4 0.361 0.21 0.279 0.361
T2Dbmiadj_pwy106_pc2 3 3 0.713 0.114 0.082 0.735
T2Dbmiadj_pwy134_pc3 3 3 0.629 0.178 0.138 0.603
T2Dbmiadj_pwy135_pc3 2 2 0.143 0.248 0.95 0.239
T2Dbmiadj_pwy140_pc5 3 3 0.005 0.162 0.99 0.035
T2Dbmiadj_pwy145_pc3 2 2 0.05 0.306 0.994 0.116
T2Dbmiadj_pwy147_pc2 2 2 0.802 0.126 0.093 0.638
T2Dbmiadj_pwy150_pc5 2 2 0.915 0.035 0.018 0.819
T2Dbmiadj_pwy177_pc3 2 1 0.157 -0.198 0.941 0.312
T2Dbmiadj_pwy178_pc3 2 2 0.514 -0.114 0.478 0.495
T2Dbmiadj_pwy193_pc4 2 1 0.09 0.29 0.98 0.119
T2Dbmiadj_pwy194_pc1 2 2 0.016 -0.479 0.999 0.038
T2Dbmiadj_pwy208_pc1 2 2 0.684 -0.222 0.227 0.641
