factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
myeloid_wbc_pwy197_pc3 3 3 0.201 -0.048 0.638 0.196
myeloid_wbc_pwy197_pc4 2 2 0.061 -0.071 0.991 0.177
myeloid_wbc_pwy200_pc4 3 3 0.428 0.026 0.328 0.448
myeloid_wbc_pwy201_pc3 3 3 0.601 0.02 0.159 0.554
myeloid_wbc_pwy202_pc4 2 2 0.904 -0.01 0.023 0.769
myeloid_wbc_pwy205_pc4 2 2 0.034 -0.034 0.997 0.112
myeloid_wbc_pwy218_pc2 3 3 0.234 0.063 0.586 0.251
myeloid_wbc_pwy21_pc5 2 2 0.035 -0.081 0.997 0.045
myeloid_wbc_pwy220_pc4 2 2 0.034 0.066 0.997 0.114
myeloid_wbc_pwy223_pc3 2 2 0.04 -0.083 0.996 0.125
myeloid_wbc_pwy224_pc1 4 4 0.723 -0.027 0.048 0.68
myeloid_wbc_pwy226_pc1 2 2 0.789 -0.034 0.105 0.615
myeloid_wbc_pwy231_pc2 2 2 0.922 -0.013 0.015 0.793
myeloid_wbc_pwy233_pc2 2 2 0.021 -0.051 0.999 0.061
myeloid_wbc_pwy240_pc3 2 2 0.924 0.008 0.014 0.777
myeloid_wbc_pwy246_pc4 2 2 0.717 0.031 0.185 0.589
myeloid_wbc_pwy259_pc4 2 2 0.004 0.049 1 0.013
myeloid_wbc_pwy262_pc5 2 2 0.071 0.065 0.987 0.213
myeloid_wbc_pwy265_pc3 2 2 0.118 0.049 0.966 0.178
myeloid_wbc_pwy274_pc4 3 3 0.002 0.042 0.996 0.015
myeloid_wbc_pwy275_pc2 2 2 0.043 0.042 0.995 0.097
myeloid_wbc_pwy276_pc4 2 2 0.074 -0.073 0.986 0.224
myeloid_wbc_pwy282_pc3 2 2 0.023 0.04 0.999 0.068
myeloid_wbc_pwy282_pc5 3 3 0.926 0.003 0.005 0.962
myeloid_wbc_pwy283_pc4 2 2 0.009 -0.031 1 0.023
myeloid_wbc_pwy290_pc3 2 2 0.441 -0.046 0.592 0.481
myeloid_wbc_pwy290_pc4 2 2 0.071 0.028 0.988 0.129
myeloid_wbc_pwy292_pc5 2 2 0.043 -0.032 0.995 0.118
myeloid_wbc_pwy296_pc5 3 3 0.005 0.035 0.989 0.043
myeloid_wbc_pwy305_pc5 2 2 0.041 0.053 0.996 0.096
myeloid_wbc_pwy329_pc4 3 3 0.472 -0.029 0.279 0.349
myeloid_wbc_pwy332_pc2 2 2 0.051 -0.052 0.994 0.055
myeloid_wbc_pwy332_pc3 2 2 0.072 -0.034 0.987 0.217
myeloid_wbc_pwy35_pc1 2 2 0.168 -0.147 0.932 0.349
myeloid_wbc_pwy3_pc5 2 2 0.965 -0.005 0.003 0.889
myeloid_wbc_pwy47_pc1 2 2 0.217 0.133 0.889 0.402
myeloid_wbc_pwy55_pc5 2 2 0.013 0.07 1 0.018
myeloid_wbc_pwy67_pc5 2 2 0.072 -0.049 0.987 0.134
myeloid_wbc_pwy73_pc2 2 2 0.077 -0.079 0.985 0.211
myeloid_wbc_pwy77_pc3 2 2 0.068 0.084 0.989 0.201
myeloid_wbc_pwy79_pc3 2 2 0.034 0.075 0.997 0.085
myeloid_wbc_pwy91_pc5 2 2 0.066 -0.064 0.989 0.191
myeloid_wbc_pwy93_pc1 2 2 0.029 0.082 0.998 0.078
myeloid_wbc_pwy96_pc2 2 2 0.441 -0.059 0.592 0.481
myeloid_wbc_pwy96_pc5 2 2 0.008 0.055 1 0.02
myeloid_wbc_pwy99_pc2 2 2 0.025 0.067 0.998 0.072
neut_pwy10_pc5 3 3 0.703 -0.022 0.088 0.744
neut_pwy111_pc1 3 3 0.973 -0.003 0.001 0.99
neut_pwy114_pc4 2 2 0.017 0.03 0.999 0.055
neut_pwy116_pc3 2 2 0.005 -0.047 1 0.012
neut_pwy127_pc1 2 2 0.048 0.044 0.994 0.143
neut_pwy138_pc5 2 2 0.01 -0.032 1 0.031
neut_pwy144_pc5 2 2 0.97 -0.002 0.002 0.917
neut_pwy146_pc5 2 2 0.791 -0.019 0.104 0.595
neut_pwy149_pc2 2 2 0.07 0.057 0.988 0.142
neut_pwy155_pc4 4 4 0.723 0.013 0.048 0.659
neut_pwy160_pc2 2 2 0.033 -0.053 0.997 0.085
neut_pwy161_pc4 2 2 0.026 0.036 0.998 0.07
neut_pwy170_pc3 3 3 0.629 -0.033 0.138 0.613
neut_pwy197_pc3 2 2 0.412 -0.047 0.637 0.416
neut_pwy200_pc4 3 3 0.411 0.027 0.347 0.381
neut_pwy201_pc3 3 3 0.595 0.02 0.164 0.532
neut_pwy205_pc4 2 2 0.025 -0.034 0.998 0.085
neut_pwy218_pc2 2 2 0.976 0.003 0.001 0.924
neut_pwy224_pc1 3 3 0.002 -0.133 0.997 0.011
neut_pwy231_pc2 3 3 0.654 -0.031 0.12 0.667
neut_pwy235_pc5 2 2 0.88 0.011 0.035 0.743
neut_pwy240_pc3 2 2 0.924 0.008 0.014 0.775
neut_pwy246_pc4 2 2 0.74 0.027 0.157 0.611
neut_pwy274_pc4 2 2 0.003 0.039 1 0.011
neut_pwy275_pc2 2 2 0.052 0.041 0.993 0.115
neut_pwy282_pc3 2 2 0.032 0.04 0.998 0.083
neut_pwy290_pc3 2 2 0.398 -0.049 0.658 0.411
neut_pwy296_pc5 2 2 0.011 0.032 1 0.034
neut_pwy313_pc3 2 2 0.83 -0.022 0.069 0.625
neut_pwy329_pc4 2 2 0.751 -0.02 0.146 0.591
neut_pwy35_pc1 2 2 0.021 -0.12 0.999 0.04
neut_pwy55_pc5 2 2 0.013 0.073 1 0.02
neut_pwy67_pc5 2 2 0.08 -0.048 0.984 0.152
neut_pwy73_pc2 2 2 0.079 -0.077 0.985 0.225
neut_pwy96_pc2 2 2 0.428 -0.062 0.612 0.447
neut_pwy96_pc5 2 2 0.009 0.054 1 0.018
neut_pwy99_pc2 2 2 0.034 0.066 0.997 0.085
plt_pwy119_pc4 2 2 0.997 0 0 0.991
plt_pwy12_pc5 2 2 0.724 -0.059 0.177 0.546
plt_pwy139_pc4 3 3 0.868 0.005 0.017 0.868
plt_pwy159_pc5 2 2 0.755 -0.024 0.141 0.635
plt_pwy17_pc4 2 2 0.921 -0.016 0.015 0.826
plt_pwy204_pc4 2 2 0.019 0.105 0.999 0.045
plt_pwy231_pc4 2 2 0.723 -0.035 0.178 0.586
plt_pwy23_pc2 2 2 0.002 0.072 1 0.007
plt_pwy242_pc2 2 2 0.969 0.006 0.002 0.922
plt_pwy247_pc4 2 2 0.022 -0.102 0.999 0.041
plt_pwy248_pc1 2 2 0.046 -0.205 0.995 0.111
plt_pwy265_pc5 2 2 0.668 0.031 0.248 0.547
plt_pwy328_pc4 2 2 0.068 -0.078 0.989 0.164
plt_pwy330_pc3 2 2 0.545 -0.192 0.43 0.502
plt_pwy87_pc3 2 2 0.006 -0.077 1 0.011
rbc_pwy106_pc4 2 2 0.91 -0.009 0.02 0.721
rbc_pwy111_pc1 2 2 0.113 -0.082 0.969 0.321
rbc_pwy121_pc5 2 2 0.952 0.003 0.006 0.849
rbc_pwy131_pc1 2 2 0.852 -0.018 0.053 0.75
rbc_pwy135_pc4 2 2 0.005 0.058 1 0.015
rbc_pwy15_pc2 2 2 0.97 -0.004 0.002 0.912
rbc_pwy161_pc1 2 2 0.1 0.083 0.975 0.257
rbc_pwy181_pc3 2 2 0.078 -0.043 0.985 0.181
rbc_pwy181_pc5 2 2 0.064 -0.056 0.99 0.201
rbc_pwy203_pc1 2 2 0.98 -0.003 0.001 0.936
rbc_pwy211_pc3 2 2 0.243 -0.135 0.861 0.448
rbc_pwy212_pc1 2 2 0.052 0.107 0.993 0.157
rbc_pwy242_pc5 4 4 0.555 0.026 0.128 0.546
rbc_pwy245_pc5 2 2 0.88 0.017 0.035 0.708
rbc_pwy250_pc3 2 2 0.945 0.007 0.008 0.826
rbc_pwy262_pc5 2 2 0.773 -0.023 0.122 0.637
rbc_pwy265_pc1 2 2 0.077 -0.103 0.985 0.218
rbc_pwy279_pc5 2 2 0.921 -0.012 0.015 0.791
rbc_pwy282_pc3 2 2 0.015 0.047 0.999 0.042
rbc_pwy304_pc2 3 3 0.606 -0.069 0.156 0.59
rbc_pwy311_pc3 2 2 0.986 -0.001 0 0.959
rbc_pwy318_pc1 2 2 0.876 0.026 0.037 0.731
rbc_pwy321_pc2 2 2 0.008 -0.046 1 0.023
rbc_pwy41_pc3 2 2 0.111 -0.085 0.97 0.309
rbc_pwy44_pc3 2 2 0.075 0.084 0.986 0.156
rbc_pwy53_pc5 2 2 0.085 0.056 0.982 0.223
rbc_pwy70_pc1 2 2 0.077 0.138 0.985 0.214
rbc_pwy78_pc1 3 3 0.735 -0.025 0.07 0.79
rbc_pwy82_pc5 2 2 0.899 -0.015 0.025 0.795
rbc_pwy83_pc5 2 2 0.113 -0.078 0.969 0.249
rbc_pwy93_pc2 3 3 0.563 -0.056 0.191 0.456
ukb.allasthma_pwy112_pc1 2 2 0.111 0.195 0.97 0.173
ukb.allasthma_pwy123_pc1 2 2 0.014 -0.163 1 0.01
ukb.allasthma_pwy138_pc2 3 3 0.037 0.2 0.927 0.132
ukb.allasthma_pwy155_pc1 2 2 0.955 -0.016 0.005 0.864
ukb.allasthma_pwy157_pc1 2 2 0.032 -0.177 0.997 0.106
ukb.allasthma_pwy197_pc1 2 2 0.477 0.155 0.536 0.48
ukb.allasthma_pwy250_pc2 2 2 0.955 -0.012 0.005 0.873
ukb.allasthma_pwy254_pc5 2 1 0.906 -0.035 0.022 0.763
ukb.allasthma_pwy258_pc2 2 2 0.151 -0.23 0.945 0.303
ukb.allasthma_pwy281_pc2 2 2 0.188 -0.109 0.915 0.35
ukb.allasthma_pwy315_pc4 2 2 0.659 -0.054 0.261 0.59
ukb.allasthma_pwy331_pc5 2 0 0.118 -0.113 0.966 0.11
ukb.allasthma_pwy60_pc3 2 1 0.051 0.162 0.994 0.067
ukb.allasthma_pwy6_pc2 2 1 0.042 0.219 0.996 0.029
ukb.allasthma_pwy74_pc5 2 2 0.609 -0.167 0.333 0.567
ukb.allasthma_pwy8_pc3 2 2 0.596 0.15 0.352 0.519
ukb.allasthma_pwy91_pc5 2 2 0.878 0.023 0.036 0.723
wbc_pwy10_pc5 3 3 0.645 -0.026 0.126 0.627
wbc_pwy113_pc3 3 3 0.003 0.032 0.994 0.011
wbc_pwy114_pc4 2 2 0.008 0.031 1 0.019
wbc_pwy116_pc3 2 2 0.031 -0.048 0.998 0.092
wbc_pwy122_pc4 2 2 0.038 -0.06 0.996 0.111
wbc_pwy124_pc3 2 2 0.034 -0.07 0.997 0.099
wbc_pwy124_pc4 2 2 0.929 -0.005 0.012 0.78
wbc_pwy124_pc5 2 2 0.978 0.002 0.001 0.936
wbc_pwy125_pc4 2 2 0.041 -0.038 0.996 0.067
wbc_pwy126_pc2 2 2 0.073 -0.046 0.987 0.226
wbc_pwy127_pc1 2 2 0.074 0.045 0.987 0.217
wbc_pwy135_pc4 3 3 0.698 0.016 0.091 0.698
wbc_pwy136_pc4 5 5 0.583 -0.014 0.082 0.537
wbc_pwy138_pc5 2 2 0.036 -0.033 0.997 0.107
wbc_pwy139_pc4 3 3 0.005 -0.025 0.989 0.012
wbc_pwy140_pc5 2 2 0.005 0.043 1 0.016
wbc_pwy142_pc4 2 2 0.013 -0.053 1 0.041
wbc_pwy143_pc4 4 4 0.001 -0.034 0.988 0.007
wbc_pwy144_pc5 5 5 0.188 0.039 0.385 0.191
wbc_pwy146_pc5 2 2 0.772 -0.023 0.123 0.559
wbc_pwy149_pc2 3 3 0.017 0.071 0.966 0.092
wbc_pwy151_pc4 3 3 0.004 0.032 0.993 0.018
wbc_pwy155_pc4 3 3 0.469 0.033 0.282 0.344
wbc_pwy157_pc4 3 3 0.453 -0.04 0.3 0.335
wbc_pwy160_pc2 2 2 0.007 -0.054 1 0.013
wbc_pwy161_pc4 2 2 0 0.037 1 0
wbc_pwy162_pc5 2 2 0.006 0.041 1 0.013
wbc_pwy163_pc5 2 2 0.907 0.007 0.021 0.742
wbc_pwy168_pc4 2 2 0.049 -0.062 0.994 0.133
wbc_pwy168_pc5 2 2 0.893 -0.011 0.028 0.716
wbc_pwy175_pc2 3 3 0.013 -0.072 0.975 0.051
wbc_pwy178_pc3 2 2 0.045 0.044 0.995 0.107
wbc_pwy187_pc5 2 2 0.035 0.037 0.997 0.085
wbc_pwy189_pc3 3 3 0.005 -0.056 0.989 0.021
wbc_pwy194_pc5 2 2 0.043 -0.069 0.995 0.151
wbc_pwy195_pc4 2 2 0.938 -0.006 0.01 0.798
wbc_pwy197_pc4 3 3 0.755 -0.017 0.06 0.814
wbc_pwy200_pc4 3 3 0.456 0.023 0.295 0.47
wbc_pwy201_pc3 2 2 0.02 0.05 0.999 0.062
