LVs	Heritability	SE	zscore	pval	rsq_min_l	lambda_min_l	ncoef_nzero_min_l	rsq_test_l	pval_test_l	rsq_1se_l	lambda_1se_l	ncoef_nzero_1se_l	rsq_min_e	lambda_min_e	ncoef_nzero_min_e	rsq_test_e	pval_test_e	rsq_1se_e	lambda_1se_e	ncoef_nzero_1se_e
125	0.107922	0.14412	0.748834304746045	0.226978540267204	0.0175259995504208	0.0617929174736103	3	0.0176996286691129	0.125413623074111	0	0.0678176506376256	0	0.0150592278891394	0.123585834947221	3	0.0177461535554394	0.124913583390448	0	0.135635301275251	0
117	0.114709	0.150815	0.760594105360873	0.223449770829856	0	0.1182251167029	0	NA	NA	0	0.1182251167029	0	0	0.236450233405799	0	NA	NA	0	0.236450233405799	0
28	0.117572	0.181466	0.647900984206408	0.258524497068122	0.997451190775553	0.00333759677583001	644	0.0010945010096425	0.704329765976055	0.94949569724458	0.015491751903647	442	0.999058137874435	0.00400167340395771	826	0.00245413896311999	0.56973953499674	0.964068527484927	0.025723049187557	625
87	0.127449	0.14114	0.90299702423126	0.183263737138737	0.980407406544978	0.00273994249969381	513	6.17030479586637e-08	0.997727220854902	0.918429870263458	0.00576731631933247	411	0.993924296650681	0.00299326510045429	718	0.00013121274286514	0.895489675781215	0.971573151996612	0.00660054088082958	622
4	0.133244	0.193271	0.689415380476119	0.24528095363037	0.999055433048116	0.0016437018966678	746	0.00450448991867332	0.440998187153904	0.984163546234822	0.00695161452476687	555	0.999051948886287	0.00328740379333561	850	0.00654933022861335	0.352600112392081	0.982472026559499	0.0145652417663034	681
26	0.13695	0.157187	0.871255256477953	0.191807397569709	0.999041202361549	0.00193523638701832	676	0.00230271636226681	0.581908886361081	0.980895395196103	0.00898257159154359	478	0.999036311539536	0.00387047277403664	832	0.000730869171746031	0.756505582762363	0.982149356586726	0.0171485996998677	675
96	0.13825	0.185025	0.74719632482097	0.227472531105256	0	0.133657799522451	0	NA	NA	0	0.133657799522451	0	0	0.267315599044902	0	NA	NA	0	0.267315599044902	0
70	0.139978	0.176724	0.792071252348294	0.214159565636672	0.996586765763121	0.0043184109085487	630	0.000551294896349434	0.787708381224893	0.980851710710443	0.0104511082901726	528	0.978743181798432	0.0218974913568422	657	0.000329977712799909	0.834974757986406	0.943217505816414	0.0365272170782753	587
114	0.142999	0.224959	0.635666943754195	0.262496763169629	0.961654219247304	0.0148661506719475	463	0.0018272638607642	0.623840262024908	0.878605152071409	0.0272160311004452	370	0.933041686859428	0.0393043525748701	590	0.00214750663801639	0.594935010977613	0.839228438887238	0.0625836442812647	455
84	0.144922	0.186654	0.776420542822549	0.218750359559301	0.999033341263218	0.00104707018736558	717	0.002550743724545	0.56223219444726	0.97676550425874	0.0053339200375522	536	0.980267213939248	0.00972013856547359	704	1.93458010529148e-05	0.959773165643951	0.910129651353821	0.0214341763310571	567
