factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
mch_pwy102_pc5 2 2 0.059 -0.067 0.991 0.049
mch_pwy117_pc2 2 2 0.677 -0.052 0.236 0.584
mch_pwy134_pc5 2 2 0.329 -0.056 0.755 0.238
mch_pwy137_pc4 2 2 0.059 -0.046 0.991 0.111
mch_pwy161_pc1 2 2 0.106 -0.115 0.972 0.193
mch_pwy178_pc5 2 2 0.959 0.007 0.004 0.914
mch_pwy182_pc4 2 2 0.123 -0.122 0.963 0.241
mch_pwy18_pc5 2 2 0.954 -0.007 0.005 0.908
mch_pwy194_pc1 2 2 0.919 0.013 0.016 0.836
mch_pwy206_pc5 3 3 0.002 -0.095 0.995 0.005
mch_pwy221_pc5 2 2 0.096 0.065 0.977 0.18
mch_pwy228_pc5 2 2 0.158 -0.065 0.94 0.245
mch_pwy234_pc5 2 2 0.019 -0.066 0.999 0.033
mch_pwy237_pc1 2 2 0.026 -0.133 0.998 0.045
mch_pwy260_pc1 2 2 0.487 -0.099 0.52 0.501
mch_pwy304_pc4 3 3 0.025 0.08 0.951 0.061
mch_pwy308_pc4 3 3 0.012 -0.091 0.976 0.041
mch_pwy309_pc4 2 2 0.124 -0.081 0.962 0.192
mch_pwy320_pc4 2 2 0.957 -0.006 0.005 0.914
mch_pwy322_pc1 2 2 0.976 -0.003 0.001 0.96
mch_pwy324_pc4 3 3 0.757 -0.019 0.059 0.772
mch_pwy329_pc5 2 2 0.077 0.072 0.985 0.165
mch_pwy331_pc2 2 2 0.931 0.01 0.012 0.856
mch_pwy34_pc2 2 2 0.107 0.135 0.972 0.159
mch_pwy35_pc2 2 1 0.023 0.366 0.999 0.048
mch_pwy39_pc4 2 2 0.055 -0.082 0.993 0.05
mch_pwy45_pc1 2 2 0.364 -0.165 0.708 0.476
mch_pwy45_pc5 2 2 0.025 -0.126 0.998 0.052
mch_pwy69_pc1 3 3 0.141 0.173 0.737 0.185
mch_pwy70_pc1 3 3 0.492 0.056 0.258 0.495
mch_pwy71_pc3 2 2 0.904 0.016 0.023 0.821
mch_pwy75_pc3 2 2 0.207 0.161 0.898 0.324
mch_pwy77_pc2 2 2 0.765 0.073 0.13 0.628
mch_pwy9_pc1 2 2 0.03 0.136 0.998 0.06
mchc_pwy104_pc4 2 2 0.964 0.004 0.003 0.911
mchc_pwy112_pc3 2 2 0.769 0.023 0.126 0.645
mchc_pwy113_pc2 3 3 0.448 0.058 0.304 0.336
mchc_pwy114_pc5 2 2 0.905 -0.008 0.022 0.812
mchc_pwy117_pc4 2 2 0.09 -0.046 0.98 0.229
mchc_pwy118_pc1 4 4 0.813 0.012 0.022 0.795
mchc_pwy118_pc2 3 3 0.686 0.019 0.099 0.641
mchc_pwy119_pc1 4 4 0.832 -0.007 0.017 0.778
mchc_pwy120_pc3 2 2 0.17 0.041 0.931 0.368
mchc_pwy120_pc5 2 2 0.976 0.002 0.001 0.939
mchc_pwy126_pc5 3 3 0.918 -0.008 0.007 0.938
mchc_pwy127_pc3 2 2 0.913 -0.006 0.019 0.851
mchc_pwy133_pc4 3 3 0.352 -0.063 0.42 0.313
mchc_pwy134_pc2 2 2 0.057 -0.086 0.992 0.134
mchc_pwy134_pc5 2 2 0.439 -0.097 0.595 0.493
mchc_pwy138_pc4 2 2 0.921 -0.006 0.015 0.855
mchc_pwy138_pc5 3 3 0.017 0.04 0.967 0.067
mchc_pwy13_pc5 2 2 0.023 0.139 0.999 0.048
mchc_pwy140_pc4 3 3 0.631 -0.022 0.136 0.584
mchc_pwy142_pc4 2 2 0.757 -0.022 0.139 0.645
mchc_pwy143_pc5 3 3 0.695 0.016 0.093 0.651
mchc_pwy144_pc5 2 2 0.003 -0.045 1 0.005
mchc_pwy145_pc5 3 3 0.666 -0.018 0.112 0.642
mchc_pwy148_pc1 2 2 0.924 0.017 0.014 0.843
mchc_pwy150_pc4 2 2 0.113 -0.066 0.969 0.236
mchc_pwy150_pc5 2 2 0.085 -0.038 0.982 0.212
mchc_pwy154_pc5 5 5 0.887 0.005 0.006 0.872
mchc_pwy156_pc4 3 3 0.153 0.108 0.718 0.254
mchc_pwy162_pc3 2 2 0.977 -0.002 0.001 0.964
mchc_pwy162_pc5 2 2 0.728 -0.021 0.171 0.634
mchc_pwy174_pc2 2 2 0.231 0.087 0.875 0.414
mchc_pwy176_pc4 2 2 0.964 -0.004 0.003 0.911
mchc_pwy177_pc4 2 2 0.95 0.003 0.006 0.886
mchc_pwy178_pc3 2 2 0.85 -0.018 0.054 0.854
mchc_pwy180_pc4 3 3 0.667 0.019 0.111 0.653
mchc_pwy181_pc4 4 4 0.935 0.003 0.003 0.936
mchc_pwy182_pc1 2 2 0.924 -0.004 0.014 0.862
mchc_pwy183_pc2 2 2 0.919 -0.005 0.016 0.848
mchc_pwy185_pc3 3 3 0.708 -0.02 0.085 0.674
mchc_pwy185_pc4 3 3 0.477 0.04 0.274 0.353
mchc_pwy186_pc4 2 2 0.882 0.011 0.034 0.748
mchc_pwy187_pc1 2 2 0.049 0.111 0.994 0.109
mchc_pwy187_pc3 3 3 0.746 0.012 0.064 0.732
mchc_pwy188_pc5 3 3 0.663 0.017 0.114 0.635
mchc_pwy189_pc5 3 3 0.558 0.035 0.196 0.461
mchc_pwy192_pc4 2 2 0.973 0.003 0.002 0.93
mchc_pwy196_pc5 2 2 0.722 0.014 0.179 0.645
mchc_pwy197_pc1 3 3 0.669 0.051 0.109 0.642
mchc_pwy1_pc3 2 2 0.218 -0.059 0.887 0.41
mchc_pwy202_pc3 2 2 0.883 0.01 0.033 0.738
mchc_pwy203_pc3 2 2 0.111 0.071 0.97 0.258
mchc_pwy204_pc5 2 2 0.121 -0.085 0.964 0.249
mchc_pwy210_pc3 2 2 0.934 -0.006 0.011 0.868
mchc_pwy212_pc5 2 2 0.898 -0.014 0.025 0.79
mchc_pwy215_pc3 2 2 0.964 -0.004 0.003 0.911
mchc_pwy220_pc5 2 2 0.95 0.006 0.006 0.886
mchc_pwy222_pc1 2 2 0.852 -0.032 0.053 0.67
mchc_pwy222_pc3 2 2 0.822 -0.034 0.076 0.611
mchc_pwy222_pc5 2 2 0.223 -0.056 0.882 0.359
mchc_pwy224_pc4 2 2 0.062 -0.046 0.99 0.15
mchc_pwy226_pc5 2 2 0.129 -0.069 0.96 0.3
mchc_pwy228_pc3 2 2 0.052 0.056 0.993 0.121
mchc_pwy229_pc2 2 2 0.884 0.036 0.033 0.751
mchc_pwy22_pc4 2 2 0.101 0.088 0.975 0.237
mchc_pwy230_pc5 4 4 0.41 0.047 0.234 0.397
mchc_pwy237_pc3 2 2 0.192 -0.272 0.912 0.38
mchc_pwy238_pc3 3 3 0.746 0.021 0.065 0.738
mchc_pwy239_pc1 2 2 0.049 -0.085 0.994 0.125
mchc_pwy247_pc1 2 2 0.035 -0.118 0.997 0.096
mchc_pwy247_pc5 3 3 0.698 0.03 0.091 0.678
mchc_pwy24_pc4 2 2 0.893 0.019 0.028 0.796
mchc_pwy255_pc5 4 4 0.902 -0.006 0.006 0.887
mchc_pwy259_pc1 2 2 0.002 0.2 1 0.002
mchc_pwy264_pc2 2 2 0.563 0.06 0.402 0.533
mchc_pwy269_pc5 2 2 0.951 0.003 0.006 0.888
mchc_pwy274_pc2 2 2 0.038 -0.094 0.997 0.037
mchc_pwy276_pc3 5 5 0.094 -0.07 0.546 0.082
mchc_pwy276_pc5 2 2 0.879 0.014 0.036 0.741
mchc_pwy278_pc1 3 3 0.712 0.016 0.083 0.721
mchc_pwy280_pc4 3 3 0.075 0.092 0.855 0.19
mchc_pwy282_pc4 2 2 0.942 0.003 0.008 0.874
mchc_pwy287_pc5 2 2 0.94 -0.004 0.009 0.874
mchc_pwy290_pc4 2 2 0.046 0.061 0.995 0.108
mchc_pwy291_pc4 2 2 0.074 -0.023 0.987 0.057
mchc_pwy292_pc4 2 2 0.033 -0.044 0.997 0.075
mchc_pwy292_pc5 2 2 0.853 0.011 0.052 0.672
mchc_pwy293_pc4 3 3 0.704 0.015 0.087 0.696
mchc_pwy293_pc5 3 3 0.578 -0.022 0.178 0.495
mchc_pwy294_pc5 2 2 0.225 -0.03 0.88 0.413
mchc_pwy295_pc3 4 4 0.918 0.003 0.004 0.888
mchc_pwy296_pc2 2 2 0.801 0.04 0.094 0.603
mchc_pwy299_pc5 2 2 0.857 -0.014 0.05 0.707
mchc_pwy310_pc4 2 2 0.012 -0.061 1 0.021
mchc_pwy311_pc3 3 3 0.861 -0.009 0.019 0.885
mchc_pwy311_pc5 2 2 0.151 -0.057 0.945 0.349
mchc_pwy317_pc3 2 2 0.895 -0.019 0.027 0.861
mchc_pwy319_pc5 2 2 0.926 0.007 0.013 0.868
mchc_pwy31_pc3 2 2 0.209 0.073 0.896 0.408
mchc_pwy320_pc4 2 2 0.806 -0.038 0.09 0.616
mchc_pwy321_pc2 2 2 0.866 0.015 0.044 0.711
mchc_pwy324_pc1 2 2 0.674 -0.041 0.24 0.564
mchc_pwy325_pc2 2 2 0.872 0.015 0.04 0.723
mchc_pwy326_pc2 2 2 0.887 0.011 0.031 0.76
mchc_pwy327_pc2 2 2 0.196 0.051 0.908 0.321
mchc_pwy327_pc3 2 2 0.948 0.007 0.007 0.882
mchc_pwy331_pc4 2 2 0.28 -0.07 0.818 0.443
mchc_pwy33_pc3 3 3 0.101 0.13 0.807 0.241
mchc_pwy33_pc4 2 2 0.029 -0.095 0.998 0.07
mchc_pwy43_pc4 2 2 0.12 -0.111 0.965 0.277
mchc_pwy54_pc3 2 2 0.035 0.076 0.997 0.096
mchc_pwy55_pc3 2 2 0.98 -0.002 0.001 0.942
mchc_pwy62_pc2 2 2 0.887 0.02 0.031 0.745
mchc_pwy63_pc3 2 2 0.136 -0.121 0.955 0.292
mchc_pwy65_pc1 2 2 0.952 -0.01 0.006 0.922
mchc_pwy81_pc2 2 2 0.272 0.162 0.828 0.466
mchc_pwy95_pc5 2 2 0.034 0.043 0.997 0.076
mcv_pwy101_pc2 3 3 0.564 -0.025 0.191 0.516
mcv_pwy102_pc5 2 2 0.042 -0.067 0.996 0.029
mcv_pwy107_pc4 2 2 0.326 -0.109 0.76 0.442
mcv_pwy116_pc5 2 2 0.054 -0.057 0.993 0.098
mcv_pwy117_pc2 2 2 0.673 -0.053 0.242 0.564
