factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting pval_in_resampling IVW_estimate IVW_pval IVW_resampling_pval
pwy142_peer4 2 2 0.07 -0.092 0.137 -0.0962427915938265 2.00317104520518e-95 0.064
pwy145_peer4 2 2 0.061 -0.089 0.114 -0.0933475451583146 1.05466165962663e-95 0.065
pwy152_peer4 2 2 0.825 -0.011 0.705 0.00159046026391774 0.734085903203354 0.969
pwy167_peer2 2 2 0.227 0.067 0.323 0.0802866436071674 5.50979750154617e-66 0.052
pwy175_peer5 2 2 0.165 -0.092 0.324 -0.0932336872104292 5.36461083361232e-43 0.338
pwy182_peer2 2 2 0.215 0.079 0.389 0.0770808839894213 1.049262671811e-68 0.132
pwy199_peer4 2 2 0.157 -0.092 0.305 -0.0878086081660792 4.86984642097039e-88 0.104
pwy213_peer4 3 3 0.39 0.037 0.275 0.0361893037634643 1.30386914543403e-18 0.455
pwy224_peer3 3 3 0.819 -0.033 0.811 0.0326258990297736 1.24014087665017e-16 0.502
pwy232_peer4 4 4 0.652 0.026 0.622 0.0083741838176148 0.886482466152113 0.901
pwy236_peer3 2 2 0.718 0.073 0.562 0.040515306608077 7.54612480927493e-17 0.481
pwy268_peer3 3 3 0.327 0.06 0.243 0.0561306982901133 5.78877345630593e-44 0.261
pwy299_peer4 2 2 0.079 0.092 0.15 0.097057907076348 4.26753554270383e-95 0.067
pwy305_peer4 2 2 0.056 -0.09 0.108 -0.093719269294831 7.75981588270095e-96 0.065
pwy321_peer4 7 7 0.268 -0.02 0.275 -0.0342357061671071 0.0275478937289338 0.092
pwy322_peer2 2 2 0.004 0.055 0.006 0.0553886268733666 6.64167540370874e-33 0.222
pwy332_peer4 2 2 0.076 0.094 0.148 0.0997155620178757 3.26012418084086e-95 0.065
pwy11_peer1 2 2 0.146 0.225 0.218 0.223947819231615 7.77342653634425e-48 0.102
pwy189_peer5 2 2 0.072 0.215 0.111 0.204598760031668 1.51957860016093e-30 0.396
pwy29_peer2 2 2 0.458 0.182 0.499 0.0623974363146612 1.63303902639192e-05 0.744
pwy295_peer5 2 2 0.2 -0.102 0.221 -0.114725440911386 2.60577034196046e-20 0.505
pwy323_peer2 2 2 0.087 -0.165 0.124 -0.163644751593036 4.75185620994048e-32 0.291
pwy43_peer4 2 2 0.943 -0.015 0.865 -0.0488520113777674 0.00254642790261548 0.648
pwy62_peer3 2 2 0.439 0.202 0.482 0.0719794591659306 3.51125011964887e-06 0.742
pwy164_peer5 2 2 0.786 0.063 0.659 0.00265684119482789 0.873958732103739 0.986
pwy232_peer5 2 2 0.033 0.114 0.053 0.111974982089248 4.25873884437806e-15 0.551
pwy253_peer1 2 2 0.054 -0.126 0.086 -0.130148666899916 5.84984869338816e-21 0.438
pwy325_peer5 2 2 0.046 0.122 0.088 0.125645809112487 7.38232445038591e-20 0.308
pwy326_peer5 2 2 0.047 -0.176 0.113 -0.176786184086231 2.29013118823412e-34 0.236
pwy34_peer3 2 2 0.957 -0.021 0.915 0.012983314715852 0.543389805655488 0.926
pwy34_peer4 3 3 0.563 -5.29 0.52 -2.58750888728437 0.00130119587164919 0.736
pwy97_peer4 2 2 0.083 0.413 0.176 0.413454798121736 2.43466115076544e-206 0.014
pwy99_peer4 2 2 0.083 -0.438 0.176 -0.439067807691382 2.37128234260167e-206 0.014
pwy102_peer2 2 2 0.946 0.01 0.89 0.0207852040813152 0.0774683975220871 0.775
pwy105_peer4 2 2 0.879 -0.037 0.773 -0.0390705387002125 0.0110258189920091 0.776
pwy11_peer3 3 3 0.006 -0.151 0.013 -0.155591172694146 1.6500127938552e-29 0.349
pwy11_peer5 3 3 0.009 -27.242 0.024 -28.1884086004012 2.51048970901745e-29 0.346
pwy132_peer2 2 2 0.885 0.025 0.763 0.0369551606437814 0.0068417067625923 0.709
pwy133_peer1 3 3 0.717 -0.035 0.737 -0.018724766317226 0.0852401624181221 0.92
pwy146_peer1 2 2 0.899 -0.029 0.792 -0.0450121375589796 0.0128557731116763 0.719
pwy178_peer1 2 2 0.916 -0.02 0.825 -0.0346317535273063 0.0251668774487733 0.737
pwy178_peer4 2 2 0.841 0.056 0.713 0.0512437838232178 0.000292602308332601 0.717
pwy196_peer4 2 2 0.892 0.026 0.773 0.0316973631750546 0.0294102533351498 0.777
pwy197_peer3 2 2 0.136 0.224 0.248 0.223612768577266 1.16876594674771e-56 0.205
pwy200_peer2 2 2 0.996 -0.001 0.996 0.023598802487625 0.0775831185483127 0.77
