factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
EUR.IBD_pwy272_pc1 2 2 0.021 1.031 0.999 0.05
EUR.IBD_pwy291_pc1 2 0 0.754 -0.168 0.142 0.623
EUR.IBD_pwy294_pc2 2 2 0.504 -0.387 0.494 0.531
EUR.IBD_pwy296_pc1 3 3 0.251 0.429 0.561 0.277
EUR.IBD_pwy298_pc2 2 2 0.481 -0.535 0.53 0.515
EUR.IBD_pwy300_pc1 2 2 0.79 -0.39 0.105 0.673
EUR.IBD_pwy307_pc1 3 0 0.313 1.203 0.472 0.359
EUR.IBD_pwy308_pc4 2 0 0.664 0.281 0.253 0.592
EUR.IBD_pwy312_pc4 2 2 0.457 0.517 0.567 0.507
EUR.IBD_pwy318_pc2 2 0 0.813 -0.27 0.083 0.73
EUR.IBD_pwy320_pc3 5 0 0.083 -0.301 0.57 0.085
EUR.IBD_pwy321_pc3 2 0 0.01 0.906 1 0.022
EUR.IBD_pwy321_pc5 5 0 0.042 -0.372 0.685 0.056
EUR.IBD_pwy322_pc4 3 0 0.002 -0.682 0.997 0.005
EUR.IBD_pwy325_pc4 5 0 0.044 -0.353 0.679 0.059
EUR.IBD_pwy325_pc5 6 6 0.021 0.94 0.688 0.026
EUR.IBD_pwy326_pc4 6 0 0.04 0.317 0.603 0.07
EUR.IBD_pwy329_pc5 2 0 0.004 0.364 1 0.007
EUR.IBD_pwy330_pc4 3 0 0.93 -0.029 0.005 0.935
EUR.IBD_pwy331_pc3 2 0 0.992 0.007 0 0.982
EUR.IBD_pwy331_pc4 2 0 0.818 0.156 0.079 0.68
EUR.IBD_pwy331_pc5 2 0 0.691 -0.329 0.217 0.583
EUR.IBD_pwy61_pc5 2 0 0.047 0.551 0.995 0.07
EUR.IBD_pwy66_pc5 2 2 0.025 0.489 0.998 0.056
EUR.IBD_pwy67_pc1 2 2 0.205 -2.979 0.9 0.281
EUR.IBD_pwy71_pc2 2 2 0.97 -0.041 0.002 0.93
EUR.IBD_pwy87_pc2 2 2 0.795 0.318 0.1 0.719
EUR.IBD_pwy93_pc4 2 0 0.336 -1.489 0.746 0.389
EUR.IBD_pwy94_pc3 2 2 0.008 0.291 1 0.011
EUR.IBD_pwy94_pc4 2 2 0.007 -0.486 1 0.011
EUR.IBD_pwy99_pc1 4 4 0.116 -1.306 0.617 0.129
EUR.IBD_pwy99_pc4 4 4 0.41 0.33 0.233 0.406
EUR.UC_pwy100_pc2 2 0 0.384 -0.61 0.679 0.416
EUR.UC_pwy100_pc3 2 2 0.981 0.04 0.001 0.962
EUR.UC_pwy108_pc3 2 2 0.759 0.291 0.137 0.619
EUR.UC_pwy119_pc4 2 2 0.021 0.458 0.999 0.023
EUR.UC_pwy140_pc4 6 0 0.529 -0.186 0.084 0.571
EUR.UC_pwy15_pc5 2 0 0.751 -0.226 0.145 0.75
EUR.UC_pwy158_pc2 3 0 0.223 -0.768 0.604 0.263
EUR.UC_pwy162_pc5 3 0 0.276 -0.44 0.524 0.278
EUR.UC_pwy170_pc4 2 0 0.018 0.747 0.999 0.026
EUR.UC_pwy171_pc1 2 0 0.154 -0.679 0.943 0.129
EUR.UC_pwy174_pc3 2 0 0.732 0.182 0.167 0.75
EUR.UC_pwy176_pc3 3 0 0.906 0.071 0.009 0.903
EUR.UC_pwy177_pc5 2 0 0.56 -0.35 0.406 0.575
EUR.UC_pwy180_pc5 3 0 0.726 0.214 0.075 0.63
EUR.UC_pwy186_pc5 2 0 0.587 -0.206 0.365 0.559
EUR.UC_pwy191_pc5 2 0 0.01 0.849 1 0.014
EUR.UC_pwy193_pc4 2 0 0.111 -1.013 0.97 0.212
EUR.UC_pwy193_pc5 12 0 0 0.355 0.76 0
EUR.UC_pwy205_pc3 2 2 0.909 -0.15 0.02 0.82
EUR.UC_pwy206_pc2 2 0 0.123 0.83 0.963 0.131
EUR.UC_pwy218_pc1 2 2 0.816 -0.508 0.081 0.708
EUR.UC_pwy219_pc4 2 0 0.393 -0.514 0.665 0.289
EUR.UC_pwy22_pc4 2 0 0.139 -0.516 0.953 0.261
EUR.UC_pwy221_pc3 2 2 0.644 -0.256 0.281 0.625
EUR.UC_pwy23_pc4 3 3 0.429 -0.383 0.326 0.308
EUR.UC_pwy238_pc3 5 0 0.551 -0.237 0.096 0.548
EUR.UC_pwy238_pc4 3 0 0.994 0.004 0 0.992
EUR.UC_pwy238_pc5 13 0 0 -0.354 0.754 0
EUR.UC_pwy24_pc4 4 4 0.306 0.463 0.335 0.297
EUR.UC_pwy246_pc1 2 2 0.09 1.124 0.98 0.161
EUR.UC_pwy26_pc3 2 2 0.931 -0.111 0.012 0.851
EUR.UC_pwy279_pc2 4 0 0.012 1.245 0.907 0.028
EUR.UC_pwy28_pc4 2 2 0.388 0.391 0.673 0.262
EUR.UC_pwy285_pc3 2 2 0.746 0.172 0.15 0.683
EUR.UC_pwy287_pc3 2 0 0.175 -0.746 0.926 0.286
EUR.UC_pwy287_pc5 2 2 0.936 0.087 0.01 0.914
EUR.UC_pwy291_pc1 3 0 0.393 -0.441 0.368 0.367
EUR.UC_pwy291_pc5 2 0 0.121 -0.453 0.965 0.153
EUR.UC_pwy292_pc5 2 2 0.928 -0.074 0.013 0.902
EUR.UC_pwy294_pc1 2 2 0.076 -0.626 0.986 0.038
EUR.UC_pwy294_pc2 2 2 0.195 0.585 0.909 0.257
EUR.UC_pwy297_pc5 2 0 0.052 -0.804 0.993 0.105
EUR.UC_pwy307_pc1 2 0 0.344 1.956 0.735 0.374
EUR.UC_pwy312_pc1 2 0 0.022 -1.727 0.999 0.032
EUR.UC_pwy320_pc3 14 0 0 -0.34 0.734 0
EUR.UC_pwy321_pc3 3 0 0.01 0.753 0.98 0.021
EUR.UC_pwy321_pc5 11 0 0 -0.363 0.763 0
EUR.UC_pwy322_pc4 4 0 0 -0.921 0.999 0
EUR.UC_pwy324_pc4 2 0 0.154 -0.862 0.942 0.261
EUR.UC_pwy325_pc3 3 0 0.893 0.052 0.012 0.905
EUR.UC_pwy325_pc4 13 0 0 -0.365 0.757 0
EUR.UC_pwy325_pc5 7 0 0.014 0.72 0.66 0.014
EUR.UC_pwy326_pc3 3 0 0.735 -0.102 0.07 0.812
EUR.UC_pwy326_pc4 13 0 0 0.34 0.747 0
EUR.UC_pwy326_pc5 3 3 0.467 0.729 0.284 0.376
EUR.UC_pwy328_pc4 2 0 0.093 -0.655 0.979 0.143
EUR.UC_pwy330_pc4 2 0 0.094 -0.603 0.978 0.108
EUR.UC_pwy331_pc5 2 0 0.07 -0.943 0.988 0.143
EUR.UC_pwy36_pc3 2 0 0.118 -0.682 0.966 0.13
EUR.UC_pwy4_pc1 2 0 0.941 -0.104 0.009 0.899
EUR.UC_pwy42_pc4 2 0 0.007 1.445 1 0.008
EUR.UC_pwy47_pc2 2 0 0.502 0.824 0.498 0.547
EUR.UC_pwy55_pc2 2 2 0.464 -0.577 0.557 0.408
EUR.UC_pwy55_pc5 2 2 0.036 0.785 0.997 0.055
EUR.UC_pwy6_pc3 2 2 0.059 1.483 0.992 0.121
EUR.UC_pwy61_pc2 2 0 0.664 -0.739 0.254 0.589
EUR.UC_pwy67_pc1 2 2 0.866 0.413 0.043 0.772
EUR.UC_pwy90_pc2 2 0 0.886 -0.215 0.031 0.779
EUR.UC_pwy99_pc4 2 2 0.056 0.821 0.992 0.09
gran_pwy10_pc4 2 2 0.052 0.093 0.993 0.108
gran_pwy126_pc5 2 0 0.09 -0.083 0.98 0.181
gran_pwy127_pc2 3 3 0.497 -0.055 0.253 0.446
gran_pwy128_pc4 2 0 0.015 0.187 0.999 0.044
gran_pwy131_pc3 2 2 0.004 0.15 1 0.007
gran_pwy14_pc2 2 2 0.034 0.151 0.997 0.054
gran_pwy14_pc5 2 0 0.076 0.183 0.986 0.153
gran_pwy157_pc3 3 3 0.564 0.053 0.19 0.514
gran_pwy167_pc3 3 3 0.005 -0.115 0.989 0.009
gran_pwy174_pc5 2 2 0.002 -0.078 1 0
gran_pwy179_pc2 2 2 0.088 0.166 0.981 0.081
gran_pwy192_pc1 2 2 0.303 0.162 0.791 0.239
gran_pwy193_pc4 3 3 0.354 -0.099 0.418 0.301
gran_pwy193_pc5 9 0 0.001 -0.048 0.782 0.002
gran_pwy194_pc1 2 2 0.165 -0.258 0.934 0.223
gran_pwy226_pc2 2 2 0.944 -0.015 0.008 0.881
gran_pwy232_pc4 2 2 0.977 0.005 0.001 0.942
gran_pwy236_pc4 5 5 0.194 0.089 0.378 0.185
gran_pwy238_pc5 11 0 0 0.045 0.809 0
gran_pwy245_pc3 3 3 0.781 0.031 0.048 0.818
gran_pwy246_pc5 3 3 0.011 -0.104 0.978 0.031
gran_pwy25_pc1 2 2 0.85 -0.046 0.054 0.731
gran_pwy251_pc5 2 2 0.963 -0.008 0.003 0.922
gran_pwy253_pc2 2 2 0.03 -0.138 0.998 0.035
gran_pwy253_pc3 2 2 0.012 -0.105 1 0.022
gran_pwy272_pc4 3 3 0.72 0.042 0.078 0.732
gran_pwy275_pc2 2 0 0.074 -0.161 0.987 0.153
gran_pwy275_pc3 2 2 0.131 0.111 0.958 0.262
gran_pwy280_pc3 2 2 0.089 -0.11 0.981 0.177
gran_pwy288_pc4 4 0 0.003 0.153 0.966 0.008
gran_pwy297_pc3 2 2 0.853 0.019 0.052 0.727
gran_pwy317_pc3 2 2 0.835 -0.045 0.066 0.721
gran_pwy32_pc1 2 2 0.02 -0.212 0.999 0.012
gran_pwy320_pc1 3 0 0.417 -0.05 0.34 0.338
gran_pwy320_pc3 10 0 0.001 0.043 0.748 0
gran_pwy321_pc5 10 0 0.004 0.045 0.629 0.002
gran_pwy322_pc1 3 0 0.626 -0.048 0.14 0.628
gran_pwy322_pc4 3 0 0.094 0.135 0.821 0.18
gran_pwy324_pc1 2 0 0.032 -0.127 0.998 0.055
gran_pwy325_pc3 2 0 0.879 -0.019 0.036 0.816
gran_pwy325_pc4 9 0 0.001 0.047 0.779 0.002
gran_pwy325_pc5 5 0 0.023 -0.099 0.763 0.027
gran_pwy326_pc4 10 0 0 -0.044 0.776 0
gran_pwy326_pc5 2 0 0.022 -0.194 0.999 0.049
gran_pwy35_pc4 2 2 0.976 0.005 0.001 0.949
gran_pwy45_pc1 2 2 0.558 -0.11 0.41 0.531
gran_pwy57_pc5 2 2 0.001 -0.135 1 0.002
gran_pwy8_pc2 2 2 0.045 0.181 0.995 0.09
gran_pwy93_pc1 2 2 0.983 -0.002 0.001 0.96
gran_pwy94_pc5 2 0 0.066 -0.106 0.989 0.14
gran_pwy95_pc3 4 0 0.003 0.168 0.967 0.015
gran_pwy99_pc5 2 2 0.875 -0.024 0.038 0.77
HDL_pwy120_pc2 2 2 0.025 0.14 0.998 0.054
HDL_pwy194_pc1 2 2 0.984 0.005 0.001 0.975
HDL_pwy196_pc2 2 2 0.758 -0.182 0.138 0.621
HDL_pwy278_pc3 2 2 0.092 0.115 0.979 0.149
HDL_pwy301_pc2 4 4 0.052 -0.19 0.766 0.071
HDL_pwy305_pc2 2 2 0.074 0.163 0.987 0.115
HDL_pwy39_pc5 2 2 0.286 -0.106 0.812 0.199
HDL_pwy44_pc5 5 5 0.832 -0.033 0.013 0.849
