factor num_snp_fdr<0.2 num_snp_noMHC pval_in_fitting slope_in_fitting rsq_in_fitting pval_in_resampling
LDL_pwy1186_pc2 2 1 0.017 0.081 0.999 0.035
LDL_pwy1216_pc4 2 2 0.634 -0.071 0.295 0.519
LDL_pwy1246_pc5 2 2 0.785 -0.052 0.11 0.677
LDL_pwy1256_pc1 2 1 0.15 0.149 0.946 0.175
LDL_pwy125_pc4 2 2 0.08 -0.107 0.984 0.162
LDL_pwy147_pc4 2 2 0.155 0.077 0.942 0.28
LDL_pwy169_pc2 2 2 0.728 -0.097 0.172 0.567
LDL_pwy183_pc4 2 2 0.802 0.055 0.093 0.654
LDL_pwy185_pc4 3 3 0.733 0.032 0.072 0.736
LDL_pwy189_pc5 2 2 0.83 -0.042 0.07 0.696
LDL_pwy202_pc2 2 2 0.224 -0.12 0.882 0.358
LDL_pwy211_pc5 2 2 0.234 0.132 0.871 0.343
LDL_pwy228_pc3 2 2 0.577 0.061 0.38 0.559
LDL_pwy231_pc5 3 3 0.863 0.011 0.019 0.892
LDL_pwy270_pc5 2 2 0.657 -0.067 0.264 0.528
LDL_pwy299_pc4 3 3 0.443 -0.047 0.31 0.465
LDL_pwy2_pc3 2 2 0.82 0.044 0.078 0.711
LDL_pwy321_pc2 2 2 0.983 0.002 0.001 0.968
LDL_pwy339_pc5 3 3 0.03 0.247 0.94 0.04
LDL_pwy343_pc3 2 2 0.773 -0.051 0.122 0.663
LDL_pwy344_pc3 2 2 0.773 -0.051 0.122 0.663
LDL_pwy355_pc3 2 2 0.815 0.054 0.082 0.72
LDL_pwy356_pc5 2 2 0.149 0.185 0.946 0.243
LDL_pwy358_pc2 2 2 0.991 0.002 0 0.989
LDL_pwy358_pc3 2 1 0.597 0.045 0.35 0.597
LDL_pwy40_pc2 2 2 0.002 -0.091 1 0.003
LDL_pwy415_pc5 2 1 0.514 0.18 0.479 0.524
LDL_pwy424_pc5 2 2 0.121 0.113 0.964 0.122
LDL_pwy425_pc5 2 2 0.136 -0.117 0.955 0.144
LDL_pwy436_pc4 2 2 0.219 0.275 0.886 0.317
LDL_pwy448_pc2 2 2 0.76 0.057 0.136 0.654
LDL_pwy454_pc5 2 2 0.03 0.076 0.998 0.032
LDL_pwy458_pc4 3 1 0.586 -0.074 0.172 0.538
LDL_pwy460_pc2 3 3 0.001 -0.08 0.998 0.004
LDL_pwy46_pc4 3 3 0.195 -0.142 0.648 0.209
LDL_pwy473_pc2 2 2 0.075 -0.078 0.986 0.139
LDL_pwy474_pc4 2 2 0.035 0.097 0.997 0.064
LDL_pwy480_pc4 2 2 0.803 0.035 0.093 0.654
LDL_pwy503_pc4 2 1 0.657 -0.056 0.263 0.548
LDL_pwy554_pc4 3 3 0.086 0.121 0.835 0.131
LDL_pwy555_pc4 3 3 0.086 0.121 0.835 0.131
LDL_pwy562_pc4 2 2 0.76 -0.054 0.135 0.6
LDL_pwy56_pc1 2 2 0.166 -0.344 0.934 0.144
LDL_pwy588_pc4 4 4 0.553 0.041 0.129 0.575
LDL_pwy598_pc4 2 2 0.885 0.014 0.032 0.772
LDL_pwy648_pc1 3 3 0.639 0.05 0.13 0.656
LDL_pwy64_pc1 2 2 0.827 -0.038 0.072 0.732
LDL_pwy651_pc5 2 2 0.685 0.092 0.225 0.55
LDL_pwy652_pc4 3 3 0.244 -0.12 0.571 0.247
LDL_pwy654_pc2 2 2 0.796 -0.046 0.099 0.649
LDL_pwy661_pc1 2 2 0.154 -0.197 0.943 0.205
LDL_pwy690_pc4 2 2 0.08 -0.107 0.984 0.162
LDL_pwy721_pc1 2 2 0.049 0.084 0.994 0.074
LDL_pwy725_pc1 3 3 0.065 -0.362 0.874 0.059
LDL_pwy726_pc2 2 2 0.487 0.138 0.52 0.475
LDL_pwy740_pc2 2 2 0.127 -0.143 0.96 0.133
LDL_pwy748_pc2 2 2 0.883 0.014 0.033 0.821
LDL_pwy824_pc1 2 2 0.204 -0.354 0.901 0.2
LDL_pwy856_pc3 3 3 0.156 0.141 0.712 0.172
LDL_pwy863_pc5 2 2 0.007 0.071 1 0.009
LDL_pwy871_pc3 2 2 0.129 0.127 0.959 0.133
LDL_pwy88_pc2 2 2 0.12 0.46 0.965 0.067
LDL_pwy896_pc1 2 2 0.809 -0.04 0.087 0.664
LDL_pwy906_pc5 2 2 0.218 0.148 0.888 0.353
LDL_pwy912_pc5 2 1 0.739 -0.062 0.159 0.577
LDL_pwy915_pc5 2 2 0.854 0.056 0.052 0.764
LDL_pwy916_pc5 2 2 0.854 0.056 0.052 0.764
LDL_pwy942_pc1 3 2 0.402 0.094 0.357 0.369
LDL_pwy977_pc5 3 3 0.863 0.011 0.019 0.892
LDL_pwy989_pc5 3 3 0.054 -0.38 0.896 0.053
LDL_pwy990_pc4 2 2 0.358 0.315 0.715 0.419
TC_pwy1005_pc5 2 2 0.23 -0.126 0.876 0.368
TC_pwy1017_pc3 2 2 0.082 0.046 0.983 0.165
TC_pwy101_pc5 2 1 0.599 -0.03 0.346 0.575
TC_pwy1020_pc2 2 2 0.942 -0.01 0.008 0.915
TC_pwy1025_pc1 3 3 0.428 0.095 0.328 0.323
TC_pwy1051_pc4 2 2 0.028 0.064 0.998 0.043
TC_pwy1062_pc3 2 2 0.006 0.074 1 0.008
TC_pwy1067_pc1 2 2 0.774 -0.036 0.121 0.706
TC_pwy1101_pc2 2 2 0.097 -0.077 0.977 0.104
TC_pwy1109_pc4 2 2 0.593 -0.199 0.356 0.529
TC_pwy1117_pc5 2 2 0.773 -0.085 0.121 0.633
TC_pwy1121_pc4 2 2 0.051 0.075 0.994 0.105
TC_pwy1124_pc5 2 2 0.981 -0.002 0.001 0.96
TC_pwy1126_pc1 2 2 0.733 0.055 0.166 0.607
TC_pwy1128_pc3 3 3 0.37 -0.245 0.397 0.323
TC_pwy1154_pc4 3 3 0.533 -0.046 0.218 0.447
TC_pwy1155_pc3 3 3 0.414 -0.051 0.344 0.337
TC_pwy1193_pc2 2 2 0.964 0.007 0.003 0.95
TC_pwy11_pc1 2 2 0.139 0.154 0.953 0.272
TC_pwy1202_pc5 2 2 0.445 0.41 0.585 0.487
TC_pwy1203_pc5 2 2 0.469 -0.4 0.548 0.498
TC_pwy1219_pc4 2 2 0.331 -0.641 0.753 0.437
TC_pwy1222_pc2 2 2 0.794 -0.037 0.101 0.693
TC_pwy1229_pc2 2 2 0.288 0.098 0.808 0.426
TC_pwy1246_pc5 2 2 0.777 -0.05 0.118 0.628
TC_pwy1256_pc1 2 2 0.954 0.013 0.005 0.903
TC_pwy125_pc4 2 2 0.033 -0.104 0.997 0.076
TC_pwy138_pc5 2 1 0.814 -0.016 0.083 0.686
TC_pwy147_pc4 3 3 0.89 0.011 0.012 0.932
TC_pwy183_pc1 2 2 0.931 -0.01 0.012 0.858
TC_pwy183_pc4 2 2 0.834 0.044 0.066 0.697
TC_pwy189_pc5 2 2 0.138 0.071 0.954 0.221
TC_pwy198_pc5 3 3 0.534 0.107 0.217 0.516
TC_pwy202_pc2 3 3 0.408 -0.068 0.351 0.304
TC_pwy21_pc4 2 1 0.248 -0.184 0.855 0.377
TC_pwy22_pc2 2 2 0.694 0.057 0.214 0.563
TC_pwy23_pc5 3 3 0.004 0.119 0.992 0.014
TC_pwy256_pc2 2 1 0.808 -0.019 0.088 0.679
TC_pwy260_pc5 2 2 0.958 -0.009 0.004 0.938
TC_pwy2_pc3 2 2 0.651 0.12 0.271 0.546
TC_pwy301_pc4 2 2 0.797 -0.026 0.098 0.724
TC_pwy314_pc1 2 2 0.789 -0.036 0.106 0.713
TC_pwy321_pc2 4 3 0.917 0.005 0.004 0.916
TC_pwy331_pc3 2 2 0.906 0.014 0.022 0.834
TC_pwy333_pc3 2 2 0.9 0.015 0.024 0.825
TC_pwy334_pc1 2 2 0.042 -0.059 0.996 0.072
TC_pwy335_pc3 2 2 0.914 0.012 0.018 0.842
TC_pwy339_pc2 2 2 0.043 0.098 0.995 0.074
TC_pwy339_pc5 3 3 0.009 0.171 0.983 0.022
TC_pwy340_pc2 2 2 0 0.106 1 0.001
TC_pwy343_pc3 3 3 0.974 -0.003 0.001 0.984
TC_pwy344_pc3 3 3 0.974 -0.003 0.001 0.984
TC_pwy355_pc3 3 3 0.695 0.052 0.093 0.719
TC_pwy356_pc4 3 3 0.782 -0.038 0.048 0.838
TC_pwy356_pc5 2 2 0.145 0.172 0.949 0.274
TC_pwy368_pc2 2 1 0.808 -0.019 0.088 0.679
TC_pwy40_pc2 3 2 0.008 -0.088 0.985 0.031
TC_pwy436_pc1 2 2 0.778 0.031 0.116 0.7
TC_pwy446_pc5 2 2 0.284 -0.185 0.814 0.415
TC_pwy448_pc2 2 2 0.752 0.054 0.144 0.604
TC_pwy46_pc4 2 2 0.498 -0.088 0.503 0.534
TC_pwy47_pc3 2 2 0.113 -0.128 0.969 0.21
TC_pwy480_pc4 2 2 0.672 0.077 0.243 0.544
TC_pwy492_pc2 2 2 0.03 -0.062 0.998 0.051
TC_pwy501_pc1 3 3 0.814 0.021 0.034 0.866
TC_pwy517_pc4 2 2 0.339 -0.265 0.743 0.444
TC_pwy53_pc2 2 2 0.068 0.063 0.989 0.144
TC_pwy554_pc4 3 3 0.095 0.109 0.819 0.141
TC_pwy555_pc4 3 3 0.095 0.109 0.819 0.141
TC_pwy562_pc4 2 2 0.809 -0.04 0.087 0.671
TC_pwy56_pc1 2 2 0.139 -0.235 0.953 0.098
TC_pwy573_pc2 2 2 0.641 -0.077 0.286 0.532
TC_pwy598_pc4 2 2 0.864 0.012 0.045 0.761
TC_pwy60_pc3 2 2 0.037 -0.084 0.997 0.072
TC_pwy627_pc4 2 2 0.153 0.406 0.943 0.247
TC_pwy629_pc1 2 2 0.664 -0.216 0.253 0.551
TC_pwy635_pc4 2 2 0.976 0.002 0.001 0.957
TC_pwy651_pc5 2 2 0.308 0.121 0.784 0.395
TC_pwy654_pc2 2 2 0.828 -0.037 0.071 0.69
TC_pwy658_pc3 2 2 0.981 0.003 0.001 0.96
TC_pwy681_pc5 2 2 0.17 -0.114 0.93 0.308
TC_pwy685_pc1 2 2 0.171 -0.085 0.929 0.317
TC_pwy690_pc4 2 2 0.033 -0.104 0.997 0.076
TC_pwy692_pc1 2 2 0.154 -0.353 0.942 0.296
TC_pwy710_pc2 2 2 0.966 0.006 0.003 0.953
TC_pwy725_pc1 2 2 0.114 -0.274 0.968 0.047
TC_pwy726_pc2 2 2 0.447 0.167 0.582 0.454
TC_pwy743_pc4 2 2 0.636 0.213 0.293 0.532
TC_pwy753_pc1 2 2 0.056 -0.147 0.992 0.096
TC_pwy769_pc2 3 2 0.818 0.014 0.033 0.826
TC_pwy774_pc3 2 2 0.833 -0.039 0.067 0.722
TC_pwy775_pc2 3 2 0.801 0.014 0.04 0.865
TC_pwy794_pc4 2 2 0.018 -0.058 0.999 0.032
